hkjc_event_id,kickoff_hkt,home,away,home_goals,away_goals,outcome,forebet_rps,forebet_brier,forebet_logloss,dc_rps,dc_brier,dc_logloss,pi_rps,pi_brier,pi_logloss,form_rps,form_brier,form_logloss,hkjc_market_rps,hkjc_market_brier,hkjc_market_logloss,bet365_market_rps,bet365_market_brier,bet365_market_logloss,model_source,form_source
FB5199,2026-09-16T09:00+08:00,Puebla,Toluca,0,1,A,0.136250,0.131667,0.693147,,,,,,,,,,0.095494,0.080293,0.510517,,,,penaltyblog 1.12.2 / football-data.co.uk,
FB5215,2026-09-16T09:00+08:00,Dorados,Cancun FC,1,1,D,0.103300,0.205400,1.021651,,,,,,,,,,0.137591,0.272605,1.334221,,,,penaltyblog 1.12.2 / football-data.co.uk,
FB5216,2026-09-16T18:00+08:00,Jeonbuk Motors,Kashiwa Reysol,2,1,H,0.238600,0.207200,1.021651,,,,,,,,,,0.364654,0.267686,1.288031,,,,penaltyblog 1.12.2 / football-data.co.uk,
FB5251,2026-09-16T18:00+08:00,FC Seoul,Persib Bandung,0,1,A,0.246500,0.172867,0.843970,,,,,,,,,,0.319479,0.237608,1.153716,,,,penaltyblog 1.12.2 / football-data.co.uk,
FB5214,2026-09-16T20:15+08:00,Port FC,Vissel Kobe,1,2,A,0.253300,0.212067,1.049822,,,,,,,,,,0.121039,0.100741,0.594575,,,,penaltyblog 1.12.2 / football-data.co.uk,
FB5156,2026-09-17T05:58+08:00,Independiente Rivadavia,Atletico Tucuman,1,1,D,0.091600,0.181067,0.916291,,,,,,,0.139519,0.271847,1.318494,0.125570,0.240951,1.160961,,,,HKJC history reserved for Team-Form Poisson,HKJC matchResult · recency-weighted Team-Form Poisson
FB5152,2026-09-17T06:00+08:00,Atletico Mineiro,Santos,4,2,H,0.212500,0.189800,0.941609,,,,,,,0.207911,0.160705,0.835076,0.129169,0.108586,0.625412,,,,HKJC history reserved for Team-Form Poisson,HKJC matchResult · recency-weighted Team-Form Poisson
FB5180,2026-09-17T06:30+08:00,Botafogo,Gremio,3,2,H,0.197000,0.169867,0.867501,,,,,,,0.195988,0.154684,0.812154,0.125702,0.103832,0.607434,,,,HKJC history reserved for Team-Form Poisson,HKJC matchResult · recency-weighted Team-Form Poisson
FB5153,2026-09-17T08:30+08:00,Corinthians,Estudiantes,0,1,A,0.252850,0.204867,1.021651,,,,,,,0.294451,0.231325,1.139241,0.422617,0.318505,1.582652,,,,HKJC history reserved for Team-Form Poisson,HKJC matchResult · recency-weighted Team-Form Poisson
FB5254,2026-09-17T08:30+08:00,Birmingham Legion,New Mexico Utd,4,4,D,0.111519,0.222494,1.098612,,,,,,,0.145344,0.279218,1.345429,0.142539,0.284953,1.405839,,,,HKJC history reserved for Team-Form Poisson,HKJC matchResult · recency-weighted Team-Form Poisson
