checked_at_hkt,match_date,kickoff_hkt,hkjc_event_id,league_zh,home_en,away_en,state,reason,source_home_team,source_away_team,source_competition,fixture_match_score,identity_status,identity_source
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-22 18:00,FB5577,AMF,Korea Republic AM,Saudi Arabia AM,FIXTURE_ONLY,previously_observed_forebet_fixture_without_prediction_model,South Korea U23,Saudi Arabia U23,Asia: Asian Games,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-22 21:00,FB5643,INT,Mozambique U20,Mauritius U20,FIXTURE_ONLY,previously_observed_forebet_fixture_without_prediction_model,Mozambique U20,Mauritius U20,Africa: Cosafa Championship U20,0.995,VERIFIED,FOREBET_STATIC_TEAM_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-22 22:40,FB5631,UPP,Al Orooba,Dubai City FC,MODEL,usable_forebet_prediction_model_after_reconcile,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-22 22:40,FB5644,UPP,Al Hamriyah,Al Dhaid,MODEL,usable_forebet_prediction_model_after_reconcile,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-22 23:00,FB5640,QSC,Al Bidda,Al Shamal,MODEL,usable_forebet_prediction_model_after_reconcile,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 00:45,FB5605,UCLW,Inter Milan Women,Hacken Women,MODEL,usable_forebet_prediction_model,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 00:45,FB5606,UCLW,Bayern Munich Women,Manchester City Women,MODEL,usable_forebet_prediction_model,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 01:15,FB5641,QSC,Mesaimeer,Al Waab,MODEL,usable_forebet_prediction_model_after_reconcile,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 01:15,FB5642,QSC,Muaither SC,Al Khor,MODEL,usable_forebet_prediction_model_after_reconcile,,,,,,
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5588,ELT,Swindon,Newport County,MODEL,usable_forebet_prediction_model_after_reconcile,Swindon,Newport,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5589,ELT,Milton Keynes Dons,Crawley Town,MODEL,usable_forebet_prediction_model_after_reconcile,MK Dons,Crawley,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5590,ELT,Notts County,Grimsby,MODEL,usable_forebet_prediction_model_after_reconcile,Notts County,Grimsby,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5591,ELT,Wigan,Blackpool,MODEL,usable_forebet_prediction_model_after_reconcile,Wigan,Blackpool,,0.998,VERIFIED,FOREBET_STATIC_TEAM_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5620,ELT,Salford City,Sheff Wednesday,MODEL,usable_forebet_prediction_model_after_reconcile,Salford,Sheffield Wed,,0.978,VERIFIED,FOREBET_LIVESCORE
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5621,ELT,Oldham,Fleetwood,MODEL,usable_forebet_prediction_model_after_reconcile,Oldham,Fleetwood,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5622,ELT,Peterborough,Colchester,MODEL,usable_forebet_prediction_model_after_reconcile,Peterborough,Colchester,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5623,ELT,Tranmere,Shrewsbury,MODEL,usable_forebet_prediction_model_after_reconcile,Tranmere,Shrewsbury,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5624,ELT,Walsall,Stevenage,MODEL,usable_forebet_prediction_model_after_reconcile,Walsall,Stevenage,,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5625,ELT,Gillingham,Cambridge Utd,MODEL,usable_forebet_prediction_model_after_reconcile,Gillingham,Cambridge Utd,,0.998,VERIFIED,FOREBET_STATIC_TEAM_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5626,ELT,Chesterfield,Port Vale,MODEL,usable_forebet_prediction_model_after_reconcile,Chesterfield,Port Vale,England: Efl Trophy,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
2026-09-22T15:57:51+08:00,2026-09-22,2026-09-23 02:00,FB5627,ELT,Cheltenham,Exeter City,MODEL,usable_forebet_prediction_model_after_reconcile,Cheltenham,Exeter,England: Efl Trophy,1.000,CONTEXT_VERIFIED,FOREBET_STATIC_CONTEXT_MASTER
