fetched_at_hkt,match_date,kickoff_text,league_short,home_team,away_team,prob_home,prob_draw,prob_away,prediction_1x2,predicted_score,avg_goals,odds_home,odds_draw,odds_away,prediction_ou25,prob_over25,prob_under25,odds_over25,odds_under25,forebet_detail_url,hkjc_event_id,hkjc_league,hkjc_home_team,hkjc_away_team,hkjc_home_zh,hkjc_away_zh,hkjc_kickoff_hkt,hkjc_had_home,hkjc_had_draw,hkjc_had_away,match_score,ou_predicted_score,corner_prediction,corner_prob_under95,corner_prob_over95,corner_predicted_score,avg_corners
2026-09-26 08:54:27,2026-09-26,26/09/2026 01:00,ClC,Colo Colo,Audax Italiano,53.0,26.0,21.0,1,3 - 0,2.91,,333.0,450.0,,,,,,https://www.forebet.com/en/football/matches/colo-colo-audax-italiano-2553966,FB5704,CHC,Colo Colo,Audax Italiano,高路高路,奧達斯,2026-09-26 06:57,1.04,7.0,150.0,1.0,,,,,,
2026-09-26 08:54:27,2026-09-25,2026-09-26 07:00,USL,Hartford Athletic,Louisville City,33.0,32.0,35.0,2,1 - 2,2.88,,,,,,,,,,FB5739,USL,Hartford Athletic,Louisville City,哈特福體育,路易斯維爾城,2026-09-26 07:00,2.56,3.35,2.25,1.0,,,,,,
2026-09-26 08:54:27,2026-09-26,26/09/2026 01:30,Br2,Vila Nova FC,Londrina,60.0,17.0,24.0,1,2 - 0,2.11,,,,,,,,,https://www.forebet.com/en/football/matches/vila-nova-fc-londrina-2442954,FB5706,BD2,Vila Nova,Londrina,維拉諾瓦,隆德里納,2026-09-26 07:28,1.001,15.0,70.0,1.0,,Over,44,56,6 - 7,10.55
2026-09-26 08:54:27,2026-09-26,26/09/2026 01:30,Us2,Sporting JAX,Loudoun United,37.0,42.0,22.0,X,2 - 2,3.70,,,,,,,,,https://www.forebet.com/en/football/matches/sporting-jax-loudoun-united-2436466,FB5764,USL,Sporting Club Jacksonville,Loudoun Utd,傑克遜維爾體育會,勞頓聯,2026-09-26 07:30,2.93,3.65,1.93,1.0,,,,,,
2026-09-26 08:54:27,2026-09-26,26/09/2026 02:00,CNL,Jamaica,Guatemala,39.0,34.0,27.0,1,2 - 0,2.11,,230.0,310.0,,,,,,https://www.forebet.com/en/football/matches/jamaica-guatemala-2554143,FB5805,CNL,Jamaica,Guatemala,牙買加,危地馬拉,2026-09-26 08:00,1.94,2.42,4.9,1.0,,,,,,
2026-09-26 08:58:30,2026-09-26,26/09/2026 03:00,Mx1,Atlante FC,CF Monterrey,25.0,35.0,40.0,2,0 - 2,2.33,225.0,260.0,115.0,Under,47,53,,,https://www.forebet.com/en/football/matches/atlante-fc-cf-monterrey-2468143,FB5718,MXL,Atlante,Monterrey,阿蘭特,蒙特雷,2026-09-26 09:00,2.78,3.3,2.13,1.0,0 - 2,Under,63,37,5 - 2,5.99
2026-09-26 08:54:27,2026-09-26,26/09/2026 03:00,Us2,El Paso Locomotive,FC Tulsa,36.0,37.0,27.0,X,2 - 2,2.88,,,,,,,,,https://www.forebet.com/en/football/matches/el-paso-locomotive-fc-tulsa-2436465,FB5782,USL,El Paso Locomotive,FC Tulsa,艾爾帕索火車頭,FC塔爾薩,2026-09-26 09:00,1.76,3.45,3.65,1.0,,,,,,
2026-09-26 08:54:27,2026-09-26,26/09/2026 03:00,CNL,Honduras,Surinam,39.0,33.0,28.0,1,3 - 0,2.71,,260.0,400.0,,,,,,https://www.forebet.com/en/football/matches/honduras-surinam-2554146,FB5806,CNL,Honduras,Suriname,洪都拉斯,蘇里南,2026-09-26 09:00,1.52,3.4,5.5,1.0,,,,,,
2026-09-26 08:58:30,2026-09-26,26/09/2026 05:00,Mx1,Club Tijuana,Club Atlas,39.0,37.0,24.0,1,2 - 1,2.91,105.0,250.0,260.0,Over,58,42,,,https://www.forebet.com/en/football/matches/club-tijuana-club-atlas-2468144,FB5707,MXL,Tijuana,Atlas,迪祖亞拿,阿特拿斯,2026-09-26 11:00,1.95,3.2,3.2,1.0,2 - 1,Under,51,49,3 - 6,9.42
2026-09-26 08:54:27,2026-09-26,26/09/2026 05:00,CNL,El Salvador,Martinique,54.0,20.0,26.0,1,1 - 0,2.16,,240.0,320.0,,,,,,https://www.forebet.com/en/football/matches/el-salvador-martinique-2554147,FB5807,CNL,El Salvador,Martinique,薩爾瓦多,馬提尼克,2026-09-26 11:00,1.72,3.15,4.25,1.0,,,,,,
