fetched_at_hkt,hkjc_event_id,kickoff_hkt,home_en,away_en,source_url,status,home_form6,away_form6,home_last6_w,home_last6_d,home_last6_l,home_last6_ppg,away_last6_w,away_last6_d,away_last6_l,away_last6_ppg,home_home_w,home_home_d,home_home_l,away_away_w,away_away_d,away_away_l,home_gf_avg,home_ga_avg,away_gf_avg,away_ga_avg,home_shots_avg,away_shots_avg,home_possession_pct,away_possession_pct,home_corners_avg,away_corners_avg,quality_fields,notes
2026-09-24T01:20:34+08:00,FB5637,2026-09-24T00:45+08:00,OH Leuven Women,Roma Women,https://www.forebet.com/en/football/matches/oh-leuven-w-roma-w-2552172,OK,WDWWWD,WWWWWW,4,2,0,2.33,6,0,0,3.00,3,1,0,6,0,0,3.14,0.57,1.95,1.16,13,13.92,62,52,,,24,
2026-09-24T01:20:34+08:00,FB5676,2026-09-24T00:45+08:00,Servette Women,Lyon Women,https://www.forebet.com/en/football/matches/servette-chênois-w-lyon-w-2552171,OK,DWWWWW,WWWWLW,5,1,0,2.67,5,0,1,2.50,5,1,0,2,0,1,2.45,1,5.83,1.17,11,23.33,58,65,,,24,
2026-09-24T01:20:34+08:00,FB5670,2026-09-24T02:00+08:00,Saudi Arabia,Kuwait,https://www.forebet.com/en/football/matches/saudi-arabia-kuwait-2552221,OK,DLDLDL,LLDWLL,0,3,3,0.50,1,1,4,0.67,1,3,2,0,2,2,0.89,1,0.88,2,10.72,5.75,53,45,,,24,
2026-09-24T01:20:34+08:00,FB5677,2026-09-24T03:00+08:00,Barcelona Women,Paris FC Women,https://www.forebet.com/en/football/matches/barcelona-w-paris-w-2552173,OK,WWWWWW,WLWLWW,6,0,0,3.00,4,0,2,2.00,3,0,0,1,0,2,4.17,0.5,2,2.33,22,13.83,70,43,,,24,
2026-09-24T01:20:34+08:00,FB5678,2026-09-24T03:00+08:00,Chelsea Women,Austria Vienna Women,https://www.forebet.com/en/football/matches/chelsea-w-austria-wien-w-2552174,OK,WWDWWW,WLWWLD,5,1,0,2.67,3,1,2,1.67,3,1,0,0,1,1,2.5,0.5,2.17,1,18.83,11.33,64,50,,,24,
2026-09-24T01:20:34+08:00,FB5632,2026-09-24T04:57+08:00,Curico Unido,Deportes Concepcion,https://www.forebet.com/en/football/matches/curicó-unido-deportes-concepción-2553961,OK,,,2,1,3,1.17,3,2,1,1.83,2,2,2,3,2,1,1.05,1.38,1.32,1.17,12.38,12.28,49,48,,,22,
2026-09-24T01:20:34+08:00,FB5633,2026-09-24T07:27+08:00,Iquique,Antofagasta,https://www.forebet.com/en/football/matches/deportes-iquique-antofagasta-2553962,OK,,,2,1,3,1.17,2,2,2,1.33,3,1,2,3,1,2,1.3,1.57,1.57,1.06,12.79,11.89,46,50,,,22,
2026-09-24T01:20:34+08:00,FB5634,2026-09-24T07:27+08:00,Union La Calera,Universidad Catolica,https://www.forebet.com/en/football/matches/unión-la-calera-universidad-católica-2553963,OK,,,1,1,4,0.67,4,0,2,2.00,2,2,2,3,1,2,1.02,1.44,1.75,1.13,10.42,12.72,50,54,,,22,
2026-09-23T23:16:18+08:00,FB5651,2026-09-24T09:30+08:00,Seattle Sounders,Real Salt Lake,https://www.forebet.com/en/football/matches/seattle-sounders-real-salt-lake-2426613,OK,DDDDDL,LLLDLL,0,5,1,0.83,0,1,5,0.17,1,2,3,0,2,4,1.29,1.35,1.55,1.59,12.58,13.62,49,50,,,24,LAST_GOOD · RuntimeError
2026-09-23T23:16:18+08:00,FB5616,2026-09-25T02:00+08:00,Belgium U21,Belarus U21,https://www.forebet.com/en/football/matches/belgium-u21-belarus-u21-2444674,OK,WLWWDD,LLLWLD,3,2,1,1.83,1,1,4,0.67,2,0,0,0,0,2,2,0.5,1.17,1.5,14,12.67,63,44,,,24,LAST_GOOD · RuntimeError
2026-09-24T01:20:34+08:00,FB5592,2026-09-25T02:45+08:00,Liechtenstein,Lithuania,https://www.forebet.com/en/football/matches/liechtenstein-lithuania-2552239,OK,LLLLLL,LLLLDD,0,0,6,0.00,0,2,4,0.33,0,0,4,0,1,3,0,3.88,0.75,1.88,2.25,8,24,45,,,24,
2026-09-24T01:20:34+08:00,FB5593,2026-09-25T02:45+08:00,Portugal,Wales,https://www.forebet.com/en/football/matches/portugal-wales-2552233,OK,LWDWDW,DWWLWL,3,2,1,1.83,3,1,2,1.67,3,2,1,2,1,1,2.33,1.07,2.44,1.33,17.6,14.78,61,69,,,24,
