fetched_at_hkt,hkjc_event_id,kickoff_hkt,hkjc_league,home_en,away_en,prob_home,prob_draw,prob_away,prediction_1x2,predicted_score,avg_goals,source_url,match_score,status,notes,prediction_ou25,prob_over25,prob_under25,ou_predicted_score,corner_prediction,corner_prob_under95,corner_prob_over95,corner_predicted_score,avg_corners
2026-09-18T22:30:00+08:00,FB5405,2026-09-19T01:00+08:00,DK1,Lyngby,Silkeborg IF,29,55,16,X,1 - 1,2.40,https://www.forebet.com/en/football/matches/lyngby-bk-silkeborg-2469549,1.000,REGRESSION_SEED,"Verified Forebet full-time 1X2",,,,,,,,,,
2026-09-19T09:20:00+08:00,FB5268,2026-09-19T07:30+08:00,MLS,New York City,New York Red Bulls,38,36,26,1,1 - 0,1.95,https://www.forebet.com/en/football/matches/new-york-city-fc-new-york-red-bulls-2426886,1.000,WEB_RECOVERY_SEED,"Verified Forebet full-time markets after core recovery gap",Under,39,61,1 - 0,Over,44,56,5 - 5,10.43
2026-09-19T09:20:00+08:00,FB5303,2026-09-19T07:58+08:00,BD2,Sao Bernardo,Atletico Goianiense,32,30,37,2,0 - 1,1.83,https://www.forebet.com/en/football/matches/s%C3%A3o-bernardo-sp-atl%C3%A9tico-go-2442945,1.000,WEB_RECOVERY_SEED,"Verified Forebet full-time markets after core recovery gap",Under,37,63,0 - 1,,,,,
2026-09-19T09:40:00+08:00,FB5306,2026-09-19T09:00+08:00,MD1,Tepatitlan,Mineros Zacatecas,33,26,42,2,1 - 3,3.88,https://www.forebet.com/en/football/matches/tepatitl%C3%A1n-de-morelos-zacatecas-2475145,1.000,WEB_RECOVERY_SEED,"Verified Forebet full-time markets after alias gap",Over,78,22,1 - 3,Under,65,35,5 - 4,7.79
2026-09-19T09:45:00+08:00,FB5563,2026-09-19T15:00+08:00,JLCW,Elfen Saitama Women,Tokyo Verdy Women,,,,,,,https://www.forebet.com/en/teams/elfen-saitama-w/2026,,NO_FOREBET_COVERAGE,"Teams exist on Forebet, but no prediction fixture was found for this HKJC JLCW match on 2026-09-19; do not fabricate a model",,,,,,,,,,
2026-09-19T09:45:00+08:00,FB5311,2026-09-19T15:30+08:00,KD1,Bucheon FC,Gimcheon Sangmu,17,55,27,X,1 - 1,2.00,https://www.forebet.com/en/football/matches/bucheon-fc-1995-sangju-sangmu-2431009,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after provider-name alias gap",Under,40,60,1 - 1,,,,,
2026-09-19T09:45:00+08:00,FB5314,2026-09-19T17:00+08:00,JD1,Avispa Fukuoka,Sanfrecce Hiroshima,20,28,52,2,1 - 2,2.80,https://www.forebet.com/en/football/matches/avispa-fukuoka-sanfrecce-2493559,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after provider-name alias gap",Over,56,44,1 - 2,Under,53,47,2 - 7,9.14
2026-09-19T09:45:00+08:00,FB5317,2026-09-19T17:30+08:00,JD1,Urawa Reds,Tokyo Verdy,37,46,17,X,1 - 1,2.40,https://www.forebet.com/en/football/matches/urawa-red-diamonds-tokyo-verdy-2493562,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after provider-name alias gap",Under,48,52,1 - 1,Under,51,49,5 - 4,9.48
2026-09-19T09:45:00+08:00,FB5318,2026-09-19T18:00+08:00,KD1,FC Anyang,Ulsan HD,22,30,49,2,0 - 1,1.75,https://www.forebet.com/en/football/matches/fc-anyang-ulsan-hyundai-2431010,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after provider-name alias gap",Under,35,65,0 - 1,,,,,
2026-09-19T09:45:00+08:00,FB5328,2026-09-19T18:30+08:00,JD1,Yokohama F.Marinos,Mito Hollyhock,20,49,31,X,1 - 1,2.17,https://www.forebet.com/en/football/matches/yokohama-marinos-mito-hollyhock-2493565,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after provider-name alias gap",Under,43,57,1 - 1,Over,48,52,2 - 8,10.02
2026-09-19T09:50:00+08:00,FB5519,2026-09-19T19:30+08:00,ED2,Burton Albion,Mansfield,54,34,12,1,2 - 1,3.00,https://www.forebet.com/en/football/matches/burton-albion-mansfield-2507638,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after stale snapshot",Over,60,40,2 - 1,Under,62,38,3 - 4,7.84
2026-09-19T09:50:00+08:00,FB5520,2026-09-19T19:30+08:00,ED2,Barnsley,Leicester,22,33,45,2,1 - 3,3.14,https://www.forebet.com/en/football/matches/barnsley-leicester-city-2507639,1.000,WEB_RECOVERY_SEED,"Verified Forebet model after stale snapshot",Over,63,37,1 - 3,Over,31,69,8 - 4,12.78
