source_name,source_key,team_key,hkjc_name_en,hkjc_name_zh,confidence,event_count
Albacete,albacete,HKJC:albacete,Albacete,阿爾巴塞特,0.99,1
Albania,albania,HKJC:albania,Albania,阿爾巴尼亞,0.99,1
Albirex Niigata,albirexniigata,HKJC:albirexniigata,Albirex Niigata,新潟天鵝,0.99,1
Algeria,algeria,HKJC:algeria,Algeria,阿爾及利亞,0.99,1
Almería,almería,HKJC:almeria,Almeria,艾美利亞,0.99,1
Angola,angola,HKJC:angola,Angola,安哥拉,0.99,1
Armenia,armenia,HKJC:armenia,Armenia,阿美尼亞,0.99,1
Atlante,atlante,HKJC:atlante,Atlante,阿蘭特,0.99,1
Atlas,atlas,HKJC:atlas,Atlas,阿特拿斯,0.99,1
Audax Italiano,audaxitaliano,HKJC:audaxitaliano,Audax Italiano,奧達斯,0.99,1
Australia,australia,HKJC:australia,Australia,澳洲,0.99,1
Austria,austria,HKJC:austria,Austria,奧地利,0.99,1
Azerbaijan U21,azerbaijanu21,HKJC:azerbaijanu21,Azerbaijan U21,阿塞拜疆U21,0.99,1
Bahrain,bahrain,HKJC:bahrain,Bahrain,巴林,0.99,1
Bangladesh,bangladesh,HKJC:bangladesh,Bangladesh,孟加拉,0.99,1
Belarus,belarus,HKJC:belarus,Belarus,白俄羅斯,0.99,1
Belarus U21,belarusu21,HKJC:belarusu21,Belarus U21,白俄羅斯U21,0.99,1
Belgium,belgium,HKJC:belgium,Belgium,比利時,0.99,1
Belgium U21,belgiumu21,HKJC:belgiumu21,Belgium U21,比利時U21,0.99,1
Blaublitz Akita,blaublitzakita,HKJC:blaublitzakita,Blaublitz Akita,秋田藍閃電,0.99,1
Boca Juniors,bocajuniors,HKJC:bocajuniors,Boca Juniors,小保加,0.99,1
Botswana,botswana,HKJC:botswana,Botswana,博茲瓦納,0.99,1
Brazil,brazil,HKJC:brazil,Brazil,巴西,0.99,1
Bristol Rovers,bristolrovers,HKJC:bristolrovers,Bristol Rovers,布里斯托流浪,0.99,1
Bulgaria,bulgaria,HKJC:bulgaria,Bulgaria,保加利亞,0.99,1
Bulgaria U21,bulgariau21,HKJC:bulgariau21,Bulgaria U21,保加利亞U21,0.99,1
Cádiz,cádiz,HKJC:cadiz,Cadiz,卡迪斯,0.99,1
Cameroon,cameroon,HKJC:cameroon,Cameroon,喀麥隆,0.99,1
Castellón,castellón,HKJC:castellon,Castellon,卡斯迪隆,0.99,1
Celta Fortuna,celtafortuna,HKJC:celtafortuna,Celta Fortuna,幸運切爾達,0.99,1
Central African Republic,centralafricanrepublic,HKJC:centralafricanrepublic,Central African Republic,中非共和國,0.99,1
China,china,HKJC:china,China,中國,0.99,1
Colo Colo,colocolo,HKJC:colocolo,Colo Colo,高路高路,0.99,1
Comoros,comoros,HKJC:comoros,Comoros,科摩羅,0.99,1
Congo,congo,HKJC:congo,Congo,剛果,0.99,1
Costa Rica,costarica,HKJC:costarica,Costa Rica,哥斯達黎加,0.99,1
Croatia,croatia,HKJC:croatia,Croatia,克羅地亞,0.99,1
Croatia U21,croatiau21,HKJC:croatiau21,Croatia U21,克羅地亞U21,0.99,1
Curacao,curacao,HKJC:curacao,Curacao,庫拉索,0.99,1
Cyprus,cyprus,HKJC:cyprus,Cyprus,塞浦路斯,0.99,1
Czechia,czechia,HKJC:czechia,Czechia,捷克,0.99,1
Czechia U21,czechiau21,HKJC:czechiau21,Czechia U21,捷克U21,0.99,1
DR Congo,drcongo,HKJC:drcongo,D R Congo,剛果民主共和國,0.99,1
