fetched_at_utc,hkjc_event_id,kickoff_hkt,home_id,away_id,home,away,fotmob_match_id,fotmob_home_id,fotmob_away_id,fotmob_home,fotmob_away,fotmob_league,kickoff_delta_seconds,mapping_status,mapping_reason,h2h_games,home_wins,draws,away_wins,home_goals,away_goals,avg_total_goals,last5,meetings_json,source,quality
2026-09-26T00:54:57+00:00,FB5705,2026-09-26T06:28:00+08:00,50002305,50002743,Novorizontino,Sao Bernardo,5190730,581838,231931,Novorizontino,São Bernardo,Série B,120,VERIFIED,reused_verified_h2h,3,1,2,0,4,3,2.33,DHD,"[{""source_event_id"":null,""date"":""{'utcTime': '2026-05-31T14:00:00.000Z'}"",""tournament"":""Série B"",""home"":""São Bernardo"",""away"":""Novorizontino"",""home_team_id"":""231931"",""away_team_id"":""581838"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2026-02-07T22:30:00.000Z'}"",""tournament"":""Paulista A1"",""home"":""Novorizontino"",""away"":""São Bernardo"",""home_team_id"":""581838"",""away_team_id"":""231931"",""home_goals"":2,""away_goals"":1,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2025-02-06T22:00:00.000Z'}"",""tournament"":""Paulista A1"",""home"":""São Bernardo"",""away"":""Novorizontino"",""home_team_id"":""231931"",""away_team_id"":""581838"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""}]",FOTMOB,H2H_OK
2026-09-26T00:54:57+00:00,FB5852,2026-09-26T06:30:00+08:00,50353881,50353882,Racing Louisville Women,San Diego Wave Women,,,,,,,,UNMAPPED,no_exact_pair_in_kickoff_window,0,0,0,0,0,0,,,[],FOTMOB,UNMAPPED
2026-09-26T00:54:57+00:00,FB5704,2026-09-26T06:57:00+08:00,50000796,50000291,Colo Colo,Audax Italiano,6162930,7815,4058,Colo Colo,Audax Italiano,Cup,180,VERIFIED,reused_verified_h2h,5,2,1,2,8,5,2.60,DHHAA,"[{""source_event_id"":null,""date"":""{'utcTime': '2026-09-22T23:30:00.000Z'}"",""tournament"":""Cup"",""home"":""Audax Italiano"",""away"":""Colo Colo"",""home_team_id"":""4058"",""away_team_id"":""7815"",""home_goals"":0,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":0,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2026-08-30T21:30:00.000Z'}"",""tournament"":""Primera División"",""home"":""Colo Colo"",""away"":""Audax Italiano"",""home_team_id"":""7815"",""away_team_id"":""4058"",""home_goals"":5,""away_goals"":1,""current_home_goals"":5,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2026-03-07T21:00:00.000Z'}"",""tournament"":""Primera División"",""home"":""Audax Italiano"",""away"":""Colo Colo"",""home_team_id"":""4058"",""away_team_id"":""7815"",""home_goals"":0,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":0,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2025-12-07T21:00:00.000Z'}"",""tournament"":""Primera División"",""home"":""Colo Colo"",""away"":""Audax Italiano"",""home_team_id"":""7815"",""away_team_id"":""4058"",""home_goals"":1,""away_goals"":2,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2025-06-22T19:00:00.000Z'}"",""tournament"":""Primera División"",""home"":""Audax Italiano"",""away"":""Colo Colo"",""home_team_id"":""4058"",""away_team_id"":""7815"",""home_goals"":2,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""}]",FOTMOB,H2H_OK
2026-09-26T00:54:57+00:00,FB5739,2026-09-26T07:00:00+08:00,50283454,50001959,Hartford Athletic,Louisville City,,,,,,,,UNMAPPED,no_exact_pair_in_kickoff_window,0,0,0,0,0,0,,,[],FOTMOB,UNMAPPED
2026-09-26T00:54:57+00:00,FB5706,2026-09-26T07:28:00+08:00,50003322,50001955,Vila Nova,Londrina,5190738,109706,298660,Vila Nova,Londrina,Série B,120,VERIFIED,reused_verified_h2h,5,2,2,1,7,4,2.20,HHADD,"[{""source_event_id"":null,""date"":""{'utcTime': '2026-05-31T14:00:00.000Z'}"",""tournament"":""Série B"",""home"":""Londrina"",""away"":""Vila Nova"",""home_team_id"":""298660"",""away_team_id"":""109706"",""home_goals"":0,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":0,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2023-11-10T22:00:00.000Z'}"",""tournament"":""Serie B"",""home"":""Vila Nova"",""away"":""Londrina"",""home_team_id"":""109706"",""away_team_id"":""298660"",""home_goals"":4,""away_goals"":1,""current_home_goals"":4,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2023-07-15T20:00:00.000Z'}"",""tournament"":""Serie B"",""home"":""Londrina"",""away"":""Vila Nova"",""home_team_id"":""298660"",""away_team_id"":""109706"",""home_goals"":1,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":1,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2022-08-12T22:00:00.000Z'}"",""tournament"":""Serie B"",""home"":""Vila Nova"",""away"":""Londrina"",""home_team_id"":""109706"",""away_team_id"":""298660"",""home_goals"":0,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":0,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2022-04-29T22:00:00.000Z'}"",""tournament"":""Serie B"",""home"":""Londrina"",""away"":""Vila Nova"",""home_team_id"":""298660"",""away_team_id"":""109706"",""home_goals"":2,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":2,""result"":""D""}]",FOTMOB,H2H_OK
2026-09-26T00:54:57+00:00,FB5764,2026-09-26T07:30:00+08:00,50566596,50283463,Sporting Club Jacksonville,Loudoun Utd,,,,,,,,UNMAPPED,no_exact_pair_in_kickoff_window,0,0,0,0,0,0,,,[],FOTMOB,UNMAPPED
2026-09-26T00:54:57+00:00,FB5805,2026-09-26T08:00:00+08:00,50001681,50001476,Jamaica,Guatemala,5991890,5806,5858,Jamaica,Guatemala,CONCACAF Nations League A Grp. 2,0,VERIFIED,reused_verified_h2h,5,3,0,2,7,4,2.20,AHHAH,"[{""source_event_id"":4772432,""date"":""2025-06-17T02:00:00.000Z"",""tournament"":""CONCACAF Gold Cup Grp. C"",""home"":""Jamaica"",""away"":""Guatemala"",""home_team_id"":""5806"",""away_team_id"":""5858"",""home_goals"":0,""away_goals"":1,""current_home_goals"":0,""current_away_goals"":1,""result"":""A""},{""source_event_id"":4416477,""date"":""2025-06-10T23:00:00.000Z"",""tournament"":""World Cup Qualification CONCACAF 2nd Round Grp. E"",""home"":""Jamaica"",""away"":""Guatemala"",""home_team_id"":""5806"",""away_team_id"":""5858"",""home_goals"":3,""away_goals"":0,""current_home_goals"":3,""current_away_goals"":0,""result"":""H""},{""source_event_id"":4211900,""date"":""2023-07-09T21:00:00.000Z"",""tournament"":""CONCACAF Gold Cup Grp. C"",""home"":""Guatemala"",""away"":""Jamaica"",""home_team_id"":""5858"",""away_team_id"":""5806"",""home_goals"":0,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":0,""result"":""H""},{""source_event_id"":1134897,""date"":""2012-10-13T02:05:00.000Z"",""tournament"":""World Cup Qualification CONCACAF 2nd Round Grp. E"",""home"":""Guatemala"",""away"":""Jamaica"",""home_team_id"":""5858"",""away_team_id"":""5806"",""home_goals"":2,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""},{""source_event_id"":1134874,""date"":""2012-06-09T01:35:00.000Z"",""tournament"":""World Cup Qualification CONCACAF 2nd Round Grp. E"",""home"":""Jamaica"",""away"":""Guatemala"",""home_team_id"":""5806"",""away_team_id"":""5858"",""home_goals"":2,""away_goals"":1,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""}]",FOTMOB,H2H_OK
2026-09-26T00:54:57+00:00,FB5870,2026-09-26T08:00:00+08:00,50353877,50353875,NJNY Gotham Women,Chicago Stars Women,,,,,,,,UNMAPPED,no_exact_pair_in_kickoff_window,0,0,0,0,0,0,,,[],FOTMOB,UNMAPPED
2026-09-26T00:54:57+00:00,FB5868,2026-09-26T08:30:00+08:00,50353883,50566588,Seattle Reign Women,Boston Legacy Women,,,,,,,,UNMAPPED,no_exact_pair_in_kickoff_window,0,0,0,0,0,0,,,[],FOTMOB,UNMAPPED
2026-09-26T00:54:57+00:00,FB5718,2026-09-26T09:00:00+08:00,50000257,50002152,Atlante,Monterrey,1000014580,1942,7849,Atlante,Monterrey,Liga MX,0,VERIFIED,reused_verified_h2h,5,2,1,2,8,9,3.40,AHHDA,"[{""source_event_id"":null,""date"":""{'utcTime': '2014-03-30T01:00:00.000Z'}"",""tournament"":""Liga MX Clausura"",""home"":""Monterrey"",""away"":""Atlante"",""home_team_id"":""7849"",""away_team_id"":""1942"",""home_goals"":3,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":3,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2013-10-06T00:00:00.000Z'}"",""tournament"":""Liga MX Apertura"",""home"":""Atlante"",""away"":""Monterrey"",""home_team_id"":""1942"",""away_team_id"":""7849"",""home_goals"":2,""away_goals"":1,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2013-02-04T00:00:00.000Z'}"",""tournament"":""Liga MX Clausura"",""home"":""Atlante"",""away"":""Monterrey"",""home_team_id"":""1942"",""away_team_id"":""7849"",""home_goals"":3,""away_goals"":1,""current_home_goals"":3,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2012-08-19T00:00:00.000Z'}"",""tournament"":""Liga MX Apertura"",""home"":""Monterrey"",""away"":""Atlante"",""home_team_id"":""7849"",""away_team_id"":""1942"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2012-04-29T02:00:00.000Z'}"",""tournament"":""Liga MX Clausura"",""home"":""Atlante"",""away"":""Monterrey"",""home_team_id"":""1942"",""away_team_id"":""7849"",""home_goals"":0,""away_goals"":3,""current_home_goals"":0,""current_away_goals"":3,""result"":""A""}]",FOTMOB,H2H_OK
