fetched_at_hkt,hkjc_event_id,kickoff_hkt,home_id,away_id,home,away,h2h_games,home_wins,draws,away_wins,home_goals,away_goals,avg_total_goals,last5,meetings_json,source,quality
2026-09-25T09:40:04+08:00,FB5689,2026-09-25T08:20:00+08:00,50001501,50003123,Haiti,Trinidad and Tobago,3,2,1,0,4,1,1.67,DHH,"[{""source_event_id"":null,""date"":""{'utcTime': '2025-06-19T22:45:00.000Z'}"",""tournament"":""CONCACAF Gold Cup Grp. D"",""home"":""Trinidad and Tobago"",""away"":""Haiti"",""home_team_id"":""7724"",""away_team_id"":""5934"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2016-01-08T22:35:00.000Z'}"",""tournament"":""Copa America Centenario Qualification"",""home"":""Trinidad and Tobago"",""away"":""Haiti"",""home_team_id"":""7724"",""away_team_id"":""5934"",""home_goals"":0,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":0,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2013-07-12T23:05:00.000Z'}"",""tournament"":""CONCACAF Gold Cup Grp. D"",""home"":""Trinidad and Tobago"",""away"":""Haiti"",""home_team_id"":""7724"",""away_team_id"":""5934"",""home_goals"":0,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":0,""result"":""H""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5673,2026-09-25T09:00:00+08:00,50002123,50601674,Mineros Zacatecas,Piratas FC,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5674,2026-09-25T09:00:00+08:00,50002315,50334216,Oaxaca,Atletico La Paz,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5688,2026-09-25T10:00:00+08:00,50000847,50000912,Costa Rica,Curacao,2,1,1,0,2,1,1.50,HD,"[{""source_event_id"":null,""date"":""{'utcTime': '2019-11-14T23:30:00.000Z'}"",""tournament"":""CONCACAF Nations League A Grp. 1"",""home"":""Curacao"",""away"":""Costa Rica"",""home_team_id"":""287981"",""away_team_id"":""6705"",""home_goals"":1,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2019-10-14T00:00:00.000Z'}"",""tournament"":""CONCACAF Nations League A Grp. 1"",""home"":""Costa Rica"",""away"":""Curacao"",""home_team_id"":""6705"",""away_team_id"":""287981"",""home_goals"":0,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":0,""result"":""D""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5702,2026-09-25T13:00:00+08:00,50003246,50002755,Uzbekistan AM,Saudi Arabia AM,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5666,2026-09-25T14:00:00+08:00,50001806,50000768,Korea DPR Women,Chinese Taipei Women,1,1,0,0,4,0,4.00,H,"[{""kickoff_hkt"":""2026-03-19T17:00:00+08:00"",""tournament"":""ASCW"",""home"":""Chinese Taipei Women"",""away"":""Korea DPR Women"",""home_goals"":0,""away_goals"":4,""current_home_goals"":4,""current_away_goals"":0,""result"":""H"",""hkjc_event_id"":""FB5717"",""match_id"":""50064947""}]",HKJC accumulated matchResult history,H2H_OK
2026-09-25T09:40:04+08:00,FB5667,2026-09-25T14:00:00+08:00,50000765,50003314,China Women,Vietnam Women,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5785,2026-09-25T17:00:00+08:00,50000361,50002005,Bangladesh,Malaysia,1,0,0,1,1,4,5.00,A,"[{""source_event_id"":null,""date"":""{'utcTime': '2022-06-14T13:00:00.000Z'}"",""tournament"":""Asian Cup Qualification Round 3 Grp. E"",""home"":""Malaysia"",""away"":""Bangladesh"",""home_team_id"":""5823"",""away_team_id"":""95797"",""home_goals"":4,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":4,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5719,2026-09-25T18:00:00+08:00,50000299,50000524,Australia,Brazil,3,0,0,3,0,12,4.00,AAA,"[{""source_event_id"":null,""date"":""{'utcTime': '2017-06-13T10:05:00.000Z'}"",""tournament"":""Friendlies"",""home"":""Australia"",""away"":""Brazil"",""home_team_id"":""6716"",""away_team_id"":""8256"",""home_goals"":0,""away_goals"":4,""current_home_goals"":0,""current_away_goals"":4,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2013-09-07T19:15:00.000Z'}"",""tournament"":""Friendlies"",""home"":""Brazil"",""away"":""Australia"",""home_team_id"":""8256"",""away_team_id"":""6716"",""home_goals"":6,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":6,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2006-06-18T16:00:00.000Z'}"",""tournament"":""World Cup grp. F"",""home"":""Brazil"",""away"":""Australia"",""home_team_id"":""8256"",""away_team_id"":""6716"",""home_goals"":2,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":2,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5668,2026-09-25T18:30:00+08:00,50001689,50002456,Japan Women,Philippines Women,1,1,0,0,7,0,7.00,H,"[{""kickoff_hkt"":""2026-03-15T13:00:00+08:00"",""tournament"":""ASCW"",""home"":""Japan Women"",""away"":""Philippines Women"",""home_goals"":7,""away_goals"":0,""current_home_goals"":7,""current_away_goals"":0,""result"":""H"",""hkjc_event_id"":""FB5370"",""match_id"":""50064852""}]",HKJC accumulated matchResult history,H2H_OK
2026-09-25T09:40:04+08:00,FB5669,2026-09-25T18:30:00+08:00,50001814,50264497,Korea Republic Women,Uzbekistan Women,1,1,0,0,6,0,6.00,H,"[{""kickoff_hkt"":""2026-03-14T17:00:00+08:00"",""tournament"":""ASCW"",""home"":""Korea Republic Women"",""away"":""Uzbekistan Women"",""home_goals"":6,""away_goals"":0,""current_home_goals"":6,""current_away_goals"":0,""result"":""H"",""hkjc_event_id"":""FB5369"",""match_id"":""50064851""}]",HKJC accumulated matchResult history,H2H_OK
2026-09-25T09:40:04+08:00,FB5703,2026-09-25T18:30:00+08:00,50001809,50003311,Korea Republic AM,Vietnam AM,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5760,2026-09-25T21:00:00+08:00,50002997,50001133,Sudan,Ethiopia,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5763,2026-09-25T21:00:00+08:00,50003051,50001484,Tanzania,Guinea Bissau,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5791,2026-09-25T21:00:00+08:00,50002183,50002777,Mozambique,Senegal,2,0,0,2,1,6,3.50,AA,"[{""source_event_id"":null,""date"":""{'utcTime': '2023-03-28T16:00:00.000Z'}"",""tournament"":""Africa Cup of Nations Qualification Grp. J"",""home"":""Mozambique"",""away"":""Senegal"",""home_team_id"":""5965"",""away_team_id"":""6395"",""home_goals"":0,""away_goals"":1,""current_home_goals"":0,""current_away_goals"":1,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2023-03-24T19:00:00.000Z'}"",""tournament"":""Africa Cup of Nations Qualification Grp. J"",""home"":""Senegal"",""away"":""Mozambique"",""home_team_id"":""6395"",""away_team_id"":""5965"",""home_goals"":5,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":5,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5804,2026-09-25T21:00:00+08:00,50001601,50002837,Indonesia,Singapore,5,2,2,1,8,6,2.80,DHDAH,"[{""source_event_id"":null,""date"":""{'utcTime': '2026-08-07T13:00:00.000Z'}"",""tournament"":""AFF Championship Grp. B"",""home"":""Singapore"",""away"":""Indonesia"",""home_team_id"":""5825"",""away_team_id"":""6324"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2021-12-25T12:30:00.000Z'}"",""tournament"":""AFF Championship Grp. B"",""home"":""Indonesia"",""away"":""Singapore"",""home_team_id"":""6324"",""away_team_id"":""5825"",""home_goals"":4,""away_goals"":2,""current_home_goals"":4,""current_away_goals"":2,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2021-12-22T12:30:00.000Z'}"",""tournament"":""AFF Championship Grp. B"",""home"":""Singapore"",""away"":""Indonesia"",""home_team_id"":""5825"",""away_team_id"":""6324"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""},{""source_event_id"":null,""date"":""{'utcTime': '2018-11-09T12:00:00.000Z'}"",""tournament"":""AFF Championship Grp. B"",""home"":""Singapore"",""away"":""Indonesia"",""home_team_id"":""5825"",""away_team_id"":""6324"",""home_goals"":1,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":1,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2016-11-25T12:00:00.000Z'}"",""tournament"":""AFF Championship Grp. B"",""home"":""Singapore"",""away"":""Indonesia"",""home_team_id"":""5825"",""away_team_id"":""6324"",""home_goals"":1,""away_goals"":2,""current_home_goals"":2,""current_away_goals"":1,""result"":""H""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5766,2026-09-25T21:45:00+08:00,50000338,50000919,Azerbaijan U21,Czechia U21,3,0,0,3,1,12,4.33,AAA,"[{""source_event_id"":null,""date"":""{'utcTime': '2025-10-10T16:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. B"",""home"":""Czechia U21"",""away"":""Azerbaijan U21"",""home_team_id"":""5833"",""away_team_id"":""6515"",""home_goals"":5,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":5,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2017-06-08T16:30:00.000Z'}"",""tournament"":""Friendlies U21"",""home"":""Azerbaijan U21"",""away"":""Czechia U21"",""home_team_id"":""6515"",""away_team_id"":""5833"",""home_goals"":1,""away_goals"":2,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2017-06-05T15:00:00.000Z'}"",""tournament"":""Friendlies U21"",""home"":""Azerbaijan U21"",""away"":""Czechia U21"",""home_team_id"":""6515"",""away_team_id"":""5833"",""home_goals"":0,""away_goals"":5,""current_home_goals"":0,""current_away_goals"":5,""result"":""A""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5787,2026-09-25T22:00:00+08:00,50001598,50002398,India,Panama,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
2026-09-25T09:40:04+08:00,FB5738,2026-09-25T23:00:00+08:00,50001584,50001272,Iceland U21,France U21,5,1,1,3,5,9,2.80,AAAHD,"[{""source_event_id"":null,""date"":""{'utcTime': '2026-03-30T17:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. C"",""home"":""France U21"",""away"":""Iceland U21"",""home_team_id"":""6653"",""away_team_id"":""5842"",""home_goals"":2,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2021-03-31T16:00:00.000Z'}"",""tournament"":""EURO U21 Grp. C"",""home"":""Iceland U21"",""away"":""France U21"",""home_team_id"":""5842"",""away_team_id"":""6653"",""home_goals"":0,""away_goals"":2,""current_home_goals"":0,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2016-09-06T16:45:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. C"",""home"":""France U21"",""away"":""Iceland U21"",""home_team_id"":""6653"",""away_team_id"":""5842"",""home_goals"":2,""away_goals"":0,""current_home_goals"":0,""current_away_goals"":2,""result"":""A""},{""source_event_id"":null,""date"":""{'utcTime': '2015-09-05T14:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. C"",""home"":""Iceland U21"",""away"":""France U21"",""home_team_id"":""5842"",""away_team_id"":""6653"",""home_goals"":3,""away_goals"":2,""current_home_goals"":3,""current_away_goals"":2,""result"":""H""},{""source_event_id"":null,""date"":""{'utcTime': '2014-09-08T19:00:00.000Z'}"",""tournament"":""EURO U21 Qualification Grp. C"",""home"":""France U21"",""away"":""Iceland U21"",""home_team_id"":""6653"",""away_team_id"":""5842"",""home_goals"":1,""away_goals"":1,""current_home_goals"":1,""current_away_goals"":1,""result"":""D""}]",FOTMOB verified direct H2H,H2H_OK
2026-09-25T09:40:04+08:00,FB5757,2026-09-25T23:00:00+08:00,50002260,50001898,Niger,Lesotho,0,0,0,0,0,0,,,[],HKJC accumulated matchResult history,NO_PREVIOUS_H2H_IN_AVAILABLE_HISTORY
