fetched_at_hkt,match_id,hkjc_event_id,kickoff_hkt,status,tournament,home_en,away_en,home_zh,away_zh,pools,had_home,had_draw,had_away,hil_line,hil_over,hil_under,chl_line,chl_over,chl_under,pool_status,in_play,selling,odds_updated_at
2026-09-22T23:08:02+08:00,50075834,FB5406,2026-09-21T00:00+08:00,MATCHENDED,DK1,Viborg,Nordsjaelland,Viborg,Nordsjaelland,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075639,FB5497,2026-09-21T00:00+08:00,INPLAYMATCHENDED,ISA,Juventus,Atalanta,Juventus,Atalanta,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076064,FB5548,2026-09-21T00:15+08:00,MATCHENDED,ULP,Al Jazira,Al Wahda,Al Jazira,Al Wahda,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076065,FB5549,2026-09-21T00:15+08:00,MATCHENDED,ULP,Al Dhafra,Baniyas,Al Dhafra,Baniyas,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075615,FB5492,2026-09-21T00:30+08:00,INPLAYMATCHENDED,SFL,Deportivo,Betis,Deportivo,Betis,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075616,FB5493,2026-09-21T00:30+08:00,MATCHENDED,BFL,Bruges,Genk,Bruges,Genk,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075617,FB5494,2026-09-21T00:30+08:00,INPLAYMATCHENDED,SFL,Villarreal,Levante,Villarreal,Levante,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075618,FB5495,2026-09-21T00:30+08:00,MATCHENDED,SF2,Las Palmas,Burgos,Las Palmas,Burgos,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076327,FB5565,2026-09-21T00:30+08:00,INPLAYMATCHENDED,UWW,Korea DPR Women U20,Canada Women U20,Korea DPR Women U20,Canada Women U20,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075815,FB5396,2026-09-21T01:00+08:00,INPLAYMATCHENDED,PFL,Santa Clara,Braga,Santa Clara,Braga,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075816,FB5397,2026-09-21T01:00+08:00,MATCHENDED,PFL,Estoril,Casa Pia AC,Estoril,Casa Pia AC,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075791,FB5391,2026-09-21T01:15+08:00,MATCHENDED,NTL,Brann,Bodo Glimt,Brann,Bodo Glimt,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075622,FB5496,2026-09-21T01:15+08:00,MATCHENDED,BFL,KV Kortrijk,SK Beveren,KV Kortrijk,SK Beveren,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075657,FB5511,2026-09-21T01:30+08:00,INPLAYMATCHENDED,GSL,Paderborn,Hoffenheim,Paderborn,Hoffenheim,,,,,,,,,,,,0,0,
