fetched_at_hkt,hkjc_event_id,match_id,kickoff_hkt,status,tournament,home_en,away_en,home_zh,away_zh,had_home,had_draw,had_away,hil_line,hil_over,hil_under,chl_line,chl_over,chl_under,pool_status,odds_updated_at
2026-09-19T22:47:21+08:00,FB5381,50075637,2026-09-19T21:00:00.000+08:00,SECONDHALF,ISA,Udinese,Cagliari,烏甸尼斯,卡利亞里,19.0,4.7,1.13,1.5/2.0,4.6,1.14,17.5,3.05,1.32,SELLINGSTARTED,2026-09-19T22:46:46.930+08:00
2026-09-19T22:47:21+08:00,FB5382,50075638,2026-09-19T21:00:00.000+08:00,SECONDHALF,ISA,Bologna,AC Torino,博洛尼亞,拖連奴,6.8,1.16,8.0,2.5/3.0,5.15,1.11,7.5,2.98,1.33,SELLINGSTARTED,2026-09-19T22:38:32.455+08:00
2026-09-19T22:47:21+08:00,FB5370,50075620,2026-09-19T21:30:00.000+08:00,SECONDHALF,GSL,Monchengladbach,Mainz,慕遜加柏,緬恩斯,,,,,,,,,,SELLINGSTOPPED,2026-09-19T22:46:40.323+08:00
2026-09-19T22:47:21+08:00,FB5373,50075625,2026-09-19T21:30:00.000+08:00,SECONDHALF,GSL,Hamburg,Cologne,漢堡,科隆,1.08,7.4,19.0,3.5,2.43,1.49,,,,SELLINGSTARTED,2026-09-19T22:39:43.571+08:00
2026-09-19T22:47:21+08:00,FB5374,50075626,2026-09-19T21:30:00.000+08:00,SECONDHALF,GSL,Frankfurt,Freiburg,法蘭克福,弗賴堡,3.22,2.13,2.84,5.5,2.5,1.46,11.5,1.85,1.85,SELLINGSTARTED,2026-09-19T22:41:11.706+08:00
2026-09-19T22:47:21+08:00,FB5289,50075513,2026-09-19T22:00:00.000+08:00,FIRSTHALF,EPL,Brighton,Arsenal,白禮頓,阿仙奴,,,,3.5,1.78,1.92,,,,SELLINGSTOPPED,2026-09-19T22:46:45.712+08:00
2026-09-19T22:47:21+08:00,FB5340,50075506,2026-09-19T22:00:00.000+08:00,FIRSTHALFCOMPLETED,EPL,Everton,Ipswich,愛華頓,葉士域治,1.2,4.75,12.0,2.5,1.93,1.77,7.5,1.64,2.12,SELLINGSTARTED,2026-09-19T22:28:58.616+08:00
2026-09-19T22:47:21+08:00,FB5343,50075514,2026-09-19T22:00:00.000+08:00,FIRSTHALF,EPL,Newcastle,Hull City,紐卡素,侯城,1.01,11.0,35.0,3.5,1.72,2.0,,,,SELLINGSTARTED,2026-09-19T22:47:03.645+08:00
2026-09-19T22:47:21+08:00,FB5333,50075465,2026-09-19T22:15:00.000+08:00,FIRSTHALF,SFL,Bilbao,Alaves,畢爾包,艾拉維斯,1.58,2.93,6.3,1.5,1.73,1.98,8.5,1.76,1.94,SELLINGSTARTED,2026-09-19T22:45:19.358+08:00
2026-09-19T22:47:21+08:00,FB5334,50075471,2026-09-19T22:30:00.000+08:00,FIRSTHALF,DFL,Den Haag,Cambuur,海牙,甘堡爾,2.02,3.44,2.88,2.5,1.67,2.07,,,,SELLINGSTARTED,2026-09-18T07:30:03.636+08:00
