fetched_at_hkt,hkjc_event_id,kickoff_hkt,tournament,home_en,away_en,home_rating,away_rating,home_opta_name,away_opta_name,home_match_confidence,away_match_confidence,home_rank,away_rank,coverage,source,power_updated
2026-09-22T01:10:45+00:00,FB5406,2026-09-21T00:00+08:00,DK1,Viborg,Nordsjaelland,79.8394,83.8308,Viborg,NordsjÃ¦lland,1.000,1.000,293,115,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5497,2026-09-21T00:00+08:00,ISA,Juventus,Atalanta,89.4645,86.9081,Juventus,Atalanta,1.000,1.000,34,56,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5548,2026-09-21T00:15+08:00,ULP,Al Jazira,Al Wahda,74.5497,73.1988,Al Jazira,Al Wahda,1.000,1.000,723,877,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5549,2026-09-21T00:15+08:00,ULP,Al Dhafra,Baniyas,65.4223,66.2766,Al Dhafra,Bani Yas,1.000,1.000,2164,1975,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5492,2026-09-21T00:30+08:00,SFL,Deportivo,Betis,,51.8979,,Betis CF,,1.000,,6551,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5493,2026-09-21T00:30+08:00,BFL,Bruges,Genk,,84.5122,,Genk,,1.000,,93,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5494,2026-09-21T00:30+08:00,SFL,Villarreal,Levante,87.1972,84.1884,Villarreal,Levante,1.000,1.000,52,106,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5495,2026-09-21T00:30+08:00,SF2,Las Palmas,Burgos,79.5537,79.6199,Las Palmas,Burgos,1.000,1.000,314,308,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5565,2026-09-21T00:30+08:00,UWW,Korea DPR Women U20,Canada Women U20,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5396,2026-09-21T01:00+08:00,PFL,Santa Clara,Braga,81.6792,,Santa Clara,,1.000,,197,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5397,2026-09-21T01:00+08:00,PFL,Estoril,Casa Pia AC,77.8330,75.6242,Estoril,Casa Pia,1.000,1.000,425,627,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5391,2026-09-21T01:15+08:00,NTL,Brann,Bodo Glimt,80.6639,89.4853,Brann,BodÃ¸ / Glimt,1.000,1.000,254,33,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5496,2026-09-21T01:15+08:00,BFL,KV Kortrijk,SK Beveren,,40.4316,,KSK Beveren,,1.000,,11639,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5511,2026-09-21T01:30+08:00,GSL,Paderborn,Hoffenheim,82.0667,85.8597,Paderborn,Hoffenheim,1.000,1.000,180,64,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5500,2026-09-21T01:43+08:00,APL,San Lorenzo,Boca Juniors,80.7499,85.9695,San Lorenzo,Boca Juniors,1.000,1.000,248,61,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5578,2026-09-21T02:00+08:00,MXLW,Pumas UNAM Women,Puebla Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5380,2026-09-21T02:45+08:00,ISA,AC Milan,Lecce,87.8450,80.9202,Milan,Lecce,1.000,1.000,47,237,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5440,2026-09-21T02:45+08:00,FFL,Marseille,Paris Saint Germain,,94.6949,,Paris Saint-Germain,,1.000,,6,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5465,2026-09-21T03:00+08:00,BD1,Corinthians,Fluminense,82.9443,84.4986,Corinthians,Fluminense,1.000,1.000,143,95,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5466,2026-09-21T03:00+08:00,BD1,Vitoria,Cruzeiro,,85.1286,,Cruzeiro,,1.000,,76,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5509,2026-09-21T03:00+08:00,SFL,Valencia,Real Sociedad,84.8004,84.2889,Valencia,Real Sociedad,1.000,1.000,85,101,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
