fetched_at_hkt,match_date,kickoff_hkt,hkjc_event_id,league_zh,home_zh,away_zh,home_en,away_en,had_home,had_draw,had_away,mapping_source,forebet_state,forebet_reason,forebet_checked_at
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 20:30,FB5866,AEC,越南,菲律賓,Vietnam,Philippines,1.08,5.5,50.0,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 21:00,FB5747,ENL,斯洛文尼亞,蘇格蘭,Slovenia,Scotland,7.0,1.35,4.0,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 21:00,FB5841,SALW,AIK蘇納女足,韋克舍女足,AIK Solna Women,Vaxjo Women,1.4,4.1,5.3,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 21:00,FB5849,SALW,哈馬比女足,艾斯基斯杜拿聯女足,Hammarby Women,Eskilstuna Utd Women,1.06,7.0,20.0,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 21:00,FB5856,NTLW,史達比克女足,白蘭恩女足,Stabaek Women,Brann Women,6.5,4.65,1.29,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 21:00,FB5869,ISAW,拉素女足,帕爾馬女足,Lazio Women,Parma Women,1.71,3.35,3.85,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 21:00,FB5877,ANQ,南非,畿內亞,South Africa,Guinea,3.26,1.45,6.7,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5768,ED2,史托港,彼德堡,Stockport,Peterborough,1.45,3.55,6.1,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5769,ED2,韋甘比,雷丁,Wycombe,Reading,3.1,2.72,2.26,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5770,ED2,劍橋聯,AFC 溫布頓,Cambridge Utd,AFC Wimbledon,1.68,3.4,4.1,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5771,ED2,普利茅夫,伯頓,Plymouth,Burton Albion,1.45,4.05,5.1,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5772,ED3,紐波特郡,甘士比,Newport County,Grimsby,3.7,3.45,1.74,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5773,ED3,費列活特,羅奇代爾,Fleetwood,Rochdale,1.81,3.3,3.6,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5774,ED3,洛達咸,克魯,Rotherham,Crewe,2.12,3.35,2.76,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5775,ED3,車頓咸,車士打菲特,Cheltenham,Chesterfield,2.78,3.25,2.15,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5776,ED3,燦美爾,華素爾,Tranmere,Walsall,2.49,3.15,2.42,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5777,ED3,布里斯托流浪,埃克塞特,Bristol Rovers,Exeter City,1.66,3.5,4.05,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5778,ED3,梳士貝利,高車士打,Shrewsbury,Colchester,2.67,2.98,2.37,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5779,ED3,史雲頓,阿克寧頓,Swindon,Accrington Stanley,1.95,3.3,3.15,HKJC GraphQL,,,
2026-09-26T22:40:53+08:00,2026-09-26,2026-09-26 22:00,FB5784,ED3,約克城,基寧咸,York City,Gillingham,1.52,3.8,4.7,HKJC GraphQL,,,
