fetched_at_hkt,hkjc_event_id,home,away,model_league,model_home_name,model_away_name,dc_prob_home,dc_prob_draw,dc_prob_away,dc_xg_home,dc_xg_away,dc_prob_over25,pi_prob_home,pi_prob_draw,pi_prob_away,pi_home_rating,pi_away_rating,pi_diff,training_matches,team_match_quality,quality,model_source
2026-09-22T00:22:41+08:00,FB5442,Central Espanol,Montevideo City Torque,HKJC connected history (UD1),Central Espanol,Montevideo City Torque,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5501,Aldosivi,Atletico Tucuman,Argentina top flight,Aldosivi,Atl. Tucuman,0.328419,0.340566,0.331015,0.95997,0.96485,0.302983,0.310073,0.382922,0.307006,-0.45635,-0.08849,-0.36786,700,0.907,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5507,Lanus,Estudiantes,Argentina top flight,Lanus,Estudiantes Rio Cuarto,0.713555,0.233300,0.053146,1.65039,0.28627,0.306179,0.675050,0.251963,0.072987,0.05661,-0.73492,0.79153,700,0.970,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5508,Barracas Central,Independiente Rivadavia,Argentina top flight,Barracas Central,Independiente,0.341884,0.352822,0.305294,0.93505,0.86805,0.270208,0.265504,0.380120,0.354376,-0.06045,0.08401,-0.14445,700,0.970,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5572,Criciuma,Operario Ferroviario,Brazil Serie B 2025-2026,Criciúma,Operário,0.531231,0.276228,0.192541,1.36169,0.69350,0.338257,0.525704,0.330739,0.143557,0.44393,0.16501,0.27893,535,0.970,MODELED,Brazil Serie B full-league (BrazilianFootball/Data 2025 + FerrerasRP/FootballData 2026) / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5573,Cuiaba,Nautico Recife,HKJC connected history (BD2),Cuiaba,Nautico Recife,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5575,Vietnam AM,Uzbekistan AM,HKJC connected history (AMF),Vietnam AM,Uzbekistan AM,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5576,Philippines AM,Kuwait AM,HKJC connected history (AMF),Philippines AM,Kuwait AM,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5577,Korea Republic AM,Saudi Arabia AM,HKJC connected history (AMF),Korea Republic AM,Saudi Arabia AM,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5582,Werder Bremen Women,Stuttgart Women,GER Bundesliga,Werder Bremen,Stuttgart,0.234763,0.235986,0.529251,1.20807,1.90100,0.600785,0.094398,0.282306,0.623295,-0.50478,0.48091,-0.98569,396,0.940,MODELED,football-data.co.uk main / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5583,Corinthians Women,Bahia Women,Brazil top flight,Corinthians,Bahia,0.398010,0.295837,0.306152,1.20692,1.02311,0.385329,0.336737,0.381839,0.281425,0.03171,0.30051,-0.26880,639,0.940,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5584,Italy Women U20,Spain Women U20,HKJC connected history (UWW),Italy Women U20,Spain Women U20,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5586,Lusail SC,Al Markhiya,HKJC connected history (QSC),Lusail SC,Al Markhiya,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5587,Al Duhail,Al Arabi Doha,HKJC connected history (QSC),Al Duhail,Al Arabi Doha,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5588,Swindon,Newport County,ENG League Two,Swindon,Newport County,0.657303,0.186762,0.155935,2.24761,0.99693,0.629270,0.565764,0.312348,0.121888,0.00847,-0.45398,0.46244,700,1.000,MODELED,football-data.co.uk main / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5589,Milton Keynes Dons,Crawley Town,HKJC connected history (ELT),Milton Keynes Dons,Crawley Town,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5590,Notts County,Grimsby,HKJC connected history (ELT),Notts County,Grimsby,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5591,Wigan,Blackpool,ENG League One,Wigan,Blackpool,0.382270,0.284121,0.333610,1.17932,1.08150,0.393544,0.277056,0.381450,0.341493,-0.35629,0.06144,-0.41773,700,1.000,MODELED,football-data.co.uk main / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5592,Liechtenstein,Lithuania,HKJC ENL,Liechtenstein,Lithuania,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5593,Portugal,Wales,HKJC ENL,Portugal,Wales,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5594,Norway,Denmark,HKJC ENL,Norway,Denmark,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5595,Serbia,Greece,HKJC ENL,Serbia,Greece,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5596,Netherlands,Germany,HKJC ENL,Netherlands,Germany,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
