hkjc_event_id,hkjc_team_id,side,hkjc_name,other_hkjc_name,kickoff_hkt,expected_cohort,failure_class,near_count,named_count,cohort_count,best_external_name,best_other_external_name,best_external_team_id,best_match_id,best_kickoff_hkt,best_name_similarity,best_other_similarity,best_external_cohort,fetched_at
FB5652,50355591,home,Nojima Stella Sagamihara Women,Elfen Saitama Women,2026-09-23T13:00:00+08:00,WOMEN,NAME_MISMATCH,2,0,0,Iran U23,North Korea U23,622101,6052519,2026-09-23T13:30:00+08:00,0.231,0.182,U23,2026-09-22T21:31:11.347118+00:00
FB5652,50355586,away,Elfen Saitama Women,Nojima Stella Sagamihara Women,2026-09-23T13:00:00+08:00,WOMEN,NAME_MISMATCH,2,0,0,North Korea U23,Iran U23,624265,6052519,2026-09-23T13:30:00+08:00,0.182,0.231,U23,2026-09-22T21:31:11.347118+00:00
FB5654,50355594,home,Tokyo Verdy Women,Albirex Niigata Women,2026-09-23T13:00:00+08:00,WOMEN,NAME_MISMATCH,2,0,0,Iran U23,North Korea U23,622101,6052519,2026-09-23T13:30:00+08:00,0.143,0.25,U23,2026-09-22T21:31:11.347118+00:00
FB5654,50355585,away,Albirex Niigata Women,Tokyo Verdy Women,2026-09-23T13:00:00+08:00,WOMEN,NAME_MISMATCH,2,0,0,North Korea U23,Iran U23,624265,6052519,2026-09-23T13:30:00+08:00,0.25,0.143,U23,2026-09-22T21:31:11.347118+00:00
FB5645,50379875,home,Seoul City Women,Hwacheon FC Women,2026-09-23T14:57:00+08:00,WOMEN,EVENT_ABSENT,0,0,0,,,,,,,,,2026-09-22T21:31:11.347118+00:00
FB5645,50379871,away,Hwacheon FC Women,Seoul City Women,2026-09-23T14:57:00+08:00,WOMEN,EVENT_ABSENT,0,0,0,,,,,,,,,2026-09-22T21:31:11.347118+00:00
FB5655,50355589,home,JEF United Chiba Women,Kobe Leonessa Women,2026-09-23T15:00:00+08:00,WOMEN,EVENT_ABSENT,0,0,0,,,,,,,,,2026-09-22T21:31:11.347118+00:00
FB5655,50355588,away,Kobe Leonessa Women,JEF United Chiba Women,2026-09-23T15:00:00+08:00,WOMEN,EVENT_ABSENT,0,0,0,,,,,,,,,2026-09-22T21:31:11.347118+00:00
FB5656,50355595,home,Urawa Reds Women,Nagano Parceiro Women,2026-09-23T15:00:00+08:00,WOMEN,EVENT_ABSENT,0,0,0,,,,,,,,,2026-09-22T21:31:11.347118+00:00
FB5656,50355584,away,Nagano Parceiro Women,Urawa Reds Women,2026-09-23T15:00:00+08:00,WOMEN,EVENT_ABSENT,0,0,0,,,,,,,,,2026-09-22T21:31:11.347118+00:00
FB5653,50355587,home,Cerezo Osaka Women,Sanfrecce Hiroshima Women,2026-09-23T17:00:00+08:00,WOMEN,NAME_MISMATCH,3,0,0,Samui United,Chainat FC,1814903,1000021042,2026-09-23T16:30:00+08:00,0.182,0.296,SENIOR,2026-09-22T21:31:11.347118+00:00
FB5653,50355593,away,Sanfrecce Hiroshima Women,Cerezo Osaka Women,2026-09-23T17:00:00+08:00,WOMEN,NAME_MISMATCH,3,0,0,Chainat FC,Samui United,309016,1000021042,2026-09-23T16:30:00+08:00,0.296,0.182,SENIOR,2026-09-22T21:31:11.347118+00:00
