fetched_at_hkt,match_id,hkjc_event_id,kickoff_hkt,status,tournament,tournament_en,home_hkjc_id,away_hkjc_id,home_en,away_en,home_ch,away_ch
2026-09-24T11:31:33+08:00,50076346,FB5697,2026-09-24T17:30:00+08:00,PREEVENT,INT,International Matches,50002391,50002248,Palestine,New Zealand,巴勒斯坦,新西蘭
2026-09-24T11:31:33+08:00,50076347,FB5659,2026-09-24T18:05:00+08:00,PREEVENT,INT,International Matches,50001684,50003222,Japan,Uruguay,日本,烏拉圭
2026-09-24T11:31:33+08:00,50076348,FB5660,2026-09-24T19:00:00+08:00,PREEVENT,INT,International Matches,50001808,50001042,Korea Republic,Ecuador,南韓,厄瓜多爾
2026-09-24T11:31:33+08:00,50076349,FB5661,2026-09-24T19:35:00+08:00,PREEVENT,INT,International Matches,50000760,50002009,China,Maldives,中國,馬爾代夫
2026-09-24T11:31:33+08:00,50076330,FB5691,2026-09-24T21:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50002207,50000828,Namibia,Congo,納米比亞,剛果
2026-09-24T11:31:33+08:00,50076350,FB5698,2026-09-24T22:00:00+08:00,PREEVENT,INT,International Matches,50003245,50001623,Uzbekistan,Iran,烏茲別克,伊朗
2026-09-24T11:31:33+08:00,50076649,FB5701,2026-09-24T23:55:00+08:00,PREEVENT,GUC,Gulf Cup,50003206,50003395,United Arab Emirates,Yemen,阿聯酋,也門
2026-09-24T11:31:33+08:00,50076331,FB5692,2026-09-25T00:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50001907,50000506,Libya,Botswana,利比亞,博茲瓦納
2026-09-24T11:31:33+08:00,50076332,FB5693,2026-09-25T00:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50002063,50000696,Mauritania,Central African Republic,毛里塔尼亞,中非共和國
2026-09-24T11:31:33+08:00,50076334,FB5695,2026-09-25T00:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50000923,50001110,D R Congo,Equatorial Guinea,剛果民主共和國,赤道畿內亞
2026-09-24T11:31:33+08:00,50076112,FB5616,2026-09-25T02:00:00+08:00,PREEVENT,E2Q,U21 Euro Qualifiers,50000439,50000432,Belgium U21,Belarus U21,比利時U21,白俄羅斯U21
2026-09-24T11:31:33+08:00,50076617,FB5699,2026-09-25T02:00:00+08:00,PREEVENT,GUC,Gulf Cup,50002546,50000349,Qatar,Bahrain,卡塔爾,巴林
2026-09-24T11:31:33+08:00,50076222,FB5592,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50001909,50001926,Liechtenstein,Lithuania,列支敦士登,立陶宛
2026-09-24T11:31:33+08:00,50076226,FB5593,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50002502,50003347,Portugal,Wales,葡萄牙,威爾斯
2026-09-24T11:31:33+08:00,50076227,FB5594,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50002295,50000950,Norway,Denmark,挪威,丹麥
2026-09-24T11:31:33+08:00,50076234,FB5595,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50002798,50001451,Serbia,Greece,塞爾維亞,希臘
2026-09-24T11:31:33+08:00,50076235,FB5596,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50002222,50001357,Netherlands,Germany,荷蘭,德國
2026-09-24T11:31:33+08:00,50076247,FB5597,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50001834,50002623,Kosovo,Republic of Ireland,科索沃,愛爾蘭
2026-09-24T11:31:33+08:00,50076248,FB5598,2026-09-25T02:45:00+08:00,PREEVENT,ENL,Euro Nations League,50000320,50001650,Austria,Israel,奧地利,以色列
2026-09-24T11:31:33+08:00,50076165,FB5690,2026-09-25T03:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50003134,50003183,Tunisia,Uganda,突尼西亞,烏干達
2026-09-24T11:31:33+08:00,50076333,FB5694,2026-09-25T03:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50000656,50000823,Cameroon,Comoros,喀麥隆,科摩羅
2026-09-24T11:31:33+08:00,50076335,FB5696,2026-09-25T03:00:00+08:00,PREEVENT,ANQ,Africa Cup of Nations Qualifiers,50000857,50001394,Cote d'Ivoire,Ghana,科特迪瓦,加納
2026-09-24T11:31:33+08:00,50075332,FB5635,2026-09-25T04:57:00+08:00,PREEVENT,CHC,Chilean Cup,50002311,50288881,O'Higgins,Deportes Santa Cruz,奧希金斯,聖達古斯
2026-09-24T11:31:33+08:00,50075338,FB5636,2026-09-25T07:27:00+08:00,PREEVENT,CHC,Chilean Cup,50001139,50003212,Everton VM,Universidad Chile,維拿迪馬愛華頓,智利大學
2026-09-24T11:31:33+08:00,50076650,FB5689,2026-09-25T08:00:00+08:00,PREEVENT,CNL,CONCACAF Nations League,50001501,50003123,Haiti,Trinidad and Tobago,海地,千里達
2026-09-24T11:31:33+08:00,50076620,FB5700,2026-09-25T08:00:00+08:00,PREEVENT,CNL,CONCACAF Nations League,50288636,50002258,Dominican Republic,Nicaragua,多明尼加共和國,尼加拉瓜
2026-09-24T11:31:33+08:00,50076342,FB5673,2026-09-25T09:00:00+08:00,PREEVENT,MD1,Mexican Division 1,50002123,50601674,Mineros Zacatecas,Piratas FC,薩卡特卡斯,派拉達斯FC
2026-09-24T11:31:33+08:00,50076343,FB5674,2026-09-25T09:00:00+08:00,PREEVENT,MD1,Mexican Division 1,50002315,50334216,Oaxaca,Atletico La Paz,奧沙卡,拉巴斯體育會
2026-09-24T11:31:33+08:00,50076631,FB5688,2026-09-25T10:00:00+08:00,PREEVENT,CNL,CONCACAF Nations League,50000847,50000912,Costa Rica,Curacao,哥斯達黎加,庫拉索
2026-09-24T11:31:33+08:00,50076951,FB5702,2026-09-25T13:00:00+08:00,PREEVENT,AMF,Asian Games Men,50003246,50002755,Uzbekistan AM,Saudi Arabia AM,烏茲別克男亞足,沙特阿拉伯男亞足
