hkjc_team_id,hkjc_team_name,provider,provider_team_id,manager_id,canonical_name,role,appointment_date,tenure_days,evidence_class,confirmed,confidence,source_url,source_timestamp,fetched_at,raw_context
50000291,Audax Italiano,fotmob,4058,3086,Patricio Graff,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=4058,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":3086,""height"":null,""age"":50,""dateOfBirth"":""1975-11-18"",""name"":""Patricio Graff"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000320,Austria,fotmob,8255,148889,Ralf Rangnick,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8255,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":148889,""height"":null,""age"":68,""dateOfBirth"":""1958-06-29"",""name"":""Ralf Rangnick"",""ccode"":""GER"",""cname"":""Germany"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000349,Bahrain,fotmob,5901,910413,Dragan Talajić,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5901,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":910413,""height"":null,""age"":61,""dateOfBirth"":""1965-08-25"",""name"":""Dragan Talajić"",""ccode"":""CRO"",""cname"":""Croatia"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000656,Cameroon,fotmob,6629,1867062,David Pagou,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6629,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1867062,""height"":null,""age"":57,""dateOfBirth"":""1969-01-13"",""name"":""David Pagou"",""ccode"":""CMR"",""cname"":""Cameroon"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000696,Central African Republic,fotmob,230693,26423,Éloge Enza-Yamissi,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=230693,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":26423,""height"":175,""age"":43,""dateOfBirth"":""1983-01-23"",""name"":""Éloge Enza-Yamissi"",""ccode"":""CTA"",""cname"":""Central African Rep."",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000760,China,fotmob,5822,36093,Jiayi Shao,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5822,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":36093,""height"":188,""age"":46,""dateOfBirth"":""1980-04-10"",""name"":""Jiayi Shao"",""ccode"":""CHN"",""cname"":""China"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000796,Colo Colo,fotmob,7815,18524,Fernando Ortíz,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=7815,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":18524,""height"":183,""age"":48,""dateOfBirth"":""1977-12-25"",""name"":""Fernando Ortíz"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000823,Comoros,fotmob,230692,192140,Hubert Velud,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=230692,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":192140,""height"":179,""age"":67,""dateOfBirth"":""1959-06-08"",""name"":""Hubert Velud"",""ccode"":""FRA"",""cname"":""France"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000828,Congo,fotmob,5801,113665,Claude Le Roy,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5801,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":113665,""height"":null,""age"":78,""dateOfBirth"":""1948-02-06"",""name"":""Claude Le Roy"",""ccode"":""FRA"",""cname"":""France"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000847,Costa Rica,fotmob,6705,1278951,Fernando Batista,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6705,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1278951,""height"":null,""age"":56,""dateOfBirth"":""1970-08-20"",""name"":""Fernando Batista"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000912,Curacao,fotmob,287981,78614,Dick Advocaat,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=287981,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":78614,""height"":null,""age"":78,""dateOfBirth"":""1947-09-27"",""name"":""Dick Advocaat"",""ccode"":""NED"",""cname"":""Netherlands"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000923,D R Congo,fotmob,6321,535886,Sébastien Desabre,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6321,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":535886,""height"":null,""age"":50,""dateOfBirth"":""1976-08-02"",""name"":""Sébastien Desabre"",""ccode"":""FRA"",""cname"":""France"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50000950,Denmark,fotmob,8238,1426106,Brian Riemer,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8238,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1426106,""height"":null,""age"":48,""dateOfBirth"":""1978-09-22"",""name"":""Brian Riemer"",""ccode"":""DEN"",""cname"":""Denmark"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001110,Equatorial Guinea,fotmob,8323,1238750,Juan Michá,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8323,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1238750,""height"":null,""age"":51,""dateOfBirth"":""1975-07-28"",""name"":""Juan Michá"",""ccode"":""EQG"",""cname"":""Equatorial Guinea"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001139,Everton VM,fotmob,1890,18392,Walter Ribonetto,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=1890,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":18392,""height"":180,""age"":52,""dateOfBirth"":""1974-07-06"",""name"":""Walter Ribonetto"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001357,Germany,fotmob,8570,78660,Jürgen Klopp,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8570,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":78660,""height"":null,""age"":59,""dateOfBirth"":""1967-06-16"",""name"":""Jürgen Klopp"",""ccode"":""GER"",""cname"":""Germany"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001451,Greece,fotmob,6383,181507,Ivan Jovanović,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6383,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":181507,""height"":null,""age"":64,""dateOfBirth"":""1962-07-08"",""name"":""Ivan Jovanović"",""ccode"":""SRB"",""cname"":""Serbia"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001623,Iran,fotmob,6711,504132,Amir Ghalenoei,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6711,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":504132,""height"":null,""age"":62,""dateOfBirth"":""1963-11-23"",""name"":""Amir Ghalenoei"",""ccode"":""IRN"",""cname"":""Iran"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001650,Israel,fotmob,8567,762686,Ran Ben Shimon,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8567,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":762686,""height"":null,""age"":55,""dateOfBirth"":""1970-11-28"",""name"":""Ran Ben Shimon"",""ccode"":""ISR"",""cname"":""Israel"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001684,Japan,fotmob,6715,431269,Hajime Moriyasu,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6715,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":431269,""height"":null,""age"":58,""dateOfBirth"":""1968-08-23"",""name"":""Hajime Moriyasu"",""ccode"":""JPN"",""cname"":""Japan"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001809,Korea Republic AM,fotmob,300702,29427,Lee Min-Sung,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=300702,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":29427,""height"":183,""age"":53,""dateOfBirth"":""1973-06-23"",""name"":""Lee Min-Sung"",""ccode"":""KOR"",""cname"":""Korea Republic"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001907,Libya,fotmob,6328,31473,Aliou Cissé,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6328,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":31473,""height"":null,""age"":50,""dateOfBirth"":""1976-03-24"",""name"":""Aliou Cissé"",""ccode"":""SEN"",""cname"":""Senegal"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001909,Liechtenstein,fotmob,5799,1493037,Konrad Fünfstück,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5799,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1493037,""height"":null,""age"":45,""dateOfBirth"":""1980-10-07"",""name"":""Konrad Fünfstück"",""ccode"":""GER"",""cname"":""Germany"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001926,Lithuania,fotmob,8254,32565,Edgaras Jankauskas,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8254,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":32565,""height"":193,""age"":51,""dateOfBirth"":""1975-03-12"",""name"":""Edgaras Jankauskas"",""ccode"":""LTU"",""cname"":""Lithuania"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50001955,Londrina,fotmob,298660,643692,Rogério Micale,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=298660,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":643692,""height"":null,""age"":57,""dateOfBirth"":""1969-03-28"",""name"":""Rogério Micale"",""ccode"":""BRA"",""cname"":""Brazil"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002063,Mauritania,fotmob,68374,75331,Aritz López,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=68374,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":75331,""height"":182,""age"":45,""dateOfBirth"":""1980-11-06"",""name"":""Aritz López"",""ccode"":""ESP"",""cname"":""Spain"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002207,Namibia,fotmob,5802,37156,Collin Benjamin,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5802,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":37156,""height"":183,""age"":48,""dateOfBirth"":""1978-08-03"",""name"":""Collin Benjamin"",""ccode"":""NAM"",""cname"":""Namibia"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002222,Netherlands,fotmob,6708,39854,Xavi Hernández,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6708,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":39854,""height"":170,""age"":46,""dateOfBirth"":""1980-01-25"",""name"":""Xavi Hernández"",""ccode"":""ESP"",""cname"":""Spain"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
