hkjc_event_id,kickoff_hkt,hkjc_team_id,hkjc_team_name,side,verified_history_matches,previous_verified_kickoff,rest_hours,starter_overlap,starters_changed,verified_squad_size,goalkeepers,defenders,midfielders,attackers,future_fixtures_7d,future_fixtures_14d,rotation_evidence_class,depth_evidence_class,congestion_evidence_class,source
FB5701,2026-09-24T23:55:00+08:00,50003206,United Arab Emirates,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5701,2026-09-24T23:55:00+08:00,50003395,Yemen,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5692,2026-09-25T00:00:00+08:00,50001907,Libya,HOME,0,,,,,24,0,8,5,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5692,2026-09-25T00:00:00+08:00,50000506,Botswana,AWAY,0,,,,,18,0,6,6,4,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5693,2026-09-25T00:00:00+08:00,50002063,Mauritania,HOME,0,,,,,28,0,9,7,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5693,2026-09-25T00:00:00+08:00,50000696,Central African Republic,AWAY,0,,,,,25,0,8,8,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5695,2026-09-25T00:00:00+08:00,50000923,D R Congo,HOME,0,,,,,37,0,11,8,14,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5695,2026-09-25T00:00:00+08:00,50001110,Equatorial Guinea,AWAY,0,,,,,29,0,8,10,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5616,2026-09-25T02:00:00+08:00,50000439,Belgium U21,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5616,2026-09-25T02:00:00+08:00,50000432,Belarus U21,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5699,2026-09-25T02:00:00+08:00,50002546,Qatar,HOME,0,,,,,27,0,7,7,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5699,2026-09-25T02:00:00+08:00,50000349,Bahrain,AWAY,0,,,,,27,0,8,8,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5592,2026-09-25T02:45:00+08:00,50001909,Liechtenstein,HOME,0,,,,,40,0,13,11,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5592,2026-09-25T02:45:00+08:00,50001926,Lithuania,AWAY,0,,,,,44,0,16,11,10,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5593,2026-09-25T02:45:00+08:00,50002502,Portugal,HOME,0,,,,,27,0,9,7,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5593,2026-09-25T02:45:00+08:00,50003347,Wales,AWAY,0,,,,,31,0,11,7,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5594,2026-09-25T02:45:00+08:00,50002295,Norway,HOME,0,,,,,26,0,7,8,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5594,2026-09-25T02:45:00+08:00,50000950,Denmark,AWAY,0,,,,,25,0,7,8,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5595,2026-09-25T02:45:00+08:00,50002798,Serbia,HOME,0,,,,,30,0,10,10,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5595,2026-09-25T02:45:00+08:00,50001451,Greece,AWAY,0,,,,,27,0,6,10,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5596,2026-09-25T02:45:00+08:00,50002222,Netherlands,HOME,0,,,,,27,0,9,8,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5596,2026-09-25T02:45:00+08:00,50001357,Germany,AWAY,0,,,,,45,0,15,14,10,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5597,2026-09-25T02:45:00+08:00,50001834,Kosovo,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5597,2026-09-25T02:45:00+08:00,50002623,Republic of Ireland,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5598,2026-09-25T02:45:00+08:00,50000320,Austria,HOME,0,,,,,28,0,8,10,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5598,2026-09-25T02:45:00+08:00,50001650,Israel,AWAY,0,,,,,28,0,8,9,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5690,2026-09-25T03:00:00+08:00,50003134,Tunisia,HOME,0,,,,,24,0,8,8,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5690,2026-09-25T03:00:00+08:00,50003183,Uganda,AWAY,0,,,,,29,0,9,8,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5694,2026-09-25T03:00:00+08:00,50000656,Cameroon,HOME,0,,,,,27,0,10,4,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5694,2026-09-25T03:00:00+08:00,50000823,Comoros,AWAY,0,,,,,23,0,7,7,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5696,2026-09-25T03:00:00+08:00,50000857,Cote d'Ivoire,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5696,2026-09-25T03:00:00+08:00,50001394,Ghana,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5635,2026-09-25T04:57:00+08:00,50002311,O'Higgins,HOME,0,,,,,31,0,10,8,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5635,2026-09-25T04:57:00+08:00,50288881,Deportes Santa Cruz,AWAY,0,,,,,37,0,9,12,12,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5636,2026-09-25T07:27:00+08:00,50001139,Everton VM,HOME,0,,,,,32,0,12,9,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5636,2026-09-25T07:27:00+08:00,50003212,Universidad Chile,AWAY,0,,,,,38,0,12,12,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5689,2026-09-25T08:00:00+08:00,50001501,Haiti,HOME,0,,,,,26,0,9,7,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
