fetched_at_hkt,player_id,player_name,team_id,team_name,position,is_captain,injury_status,injury_description,injury_return_date,main_league_id,main_league,season,tournament,appearances,starts,minutes,goals,assists,xg,xa,rating,recent_matches,recent_minutes,recent_goals,recent_assists,recent_avg_rating,recent_starts,recent_bench,recent_pom,shots,shots_on_target,chances_created,touches_box,passes,key_passes,tackles,interceptions,recoveries,duels_won,aerial_duels_won,saves,goals_prevented,clean_sheets,selected_stats_json,quality,source
2026-09-18T23:57:59+08:00,1079517,Byron Burgering,4116,Almere City FC,Right Winger,0,,,,111,Eerste Divisie,2026/2027,Eerste Divisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:57:59+08:00,1074752,Thibault Rambaud,293352,Annecy FC,Striker,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-19T00:02:03+08:00,1200016,Ruben Providence,658811,Bodrum FK,Left Winger,0,,,,165,1. Lig,2026/2027,1. Lig,,,,,,,,,6,340.0,0.0,0.0,,6,0,0,,,,,,,,,,,,,,,{},OK_RECENT_FORM,FotMob playerData
2026-09-18T23:59:40+08:00,1187449,Florian Bianchini,8311,Clermont Foot,Right Winger,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:57:59+08:00,1128439,Brandon Ndezi,9836,Dijon,Left Winger,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-19T00:02:03+08:00,1231572,Samy Chouchane,9836,Dijon,Right Winger,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,6,382.0,3.0,0.0,,6,0,1,,,,,,,,,,,,,,,{},OK_RECENT_FORM,FotMob playerData
2026-09-18T23:59:40+08:00,1098784,Dillon Hoogewerf,9855,Grenoble,Left Winger,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-19T00:02:03+08:00,1226850,Leonardo Cerri,9855,Grenoble,forward,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,6,141.0,0.0,0.0,,6,0,0,,,,,,,,,,,,,,,{},OK_RECENT_FORM,FotMob playerData
2026-09-19T00:02:03+08:00,1203188,Fodé Fofana,9791,Heracles,forward,0,,,,111,Eerste Divisie,2026/2027,Eerste Divisie,,,,,,,,,1,1.0,0.0,0.0,,1,0,0,,,,,,,,,,,,,,,{},OK_RECENT_FORM,FotMob playerData
2026-09-18T23:59:40+08:00,1178331,Yassine Benhattab,10249,Montpellier,Right Winger,0,,,,110,Ligue 2,2025/2026,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:59:40+08:00,1167473,Mamadou Camara,10249,Montpellier,Striker,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:57:59+08:00,1079490,Pape Meïssa Ba,8481,Nancy,Striker,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-19T00:02:03+08:00,1280185,Sidi Cissé,8481,Nancy,Striker,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,6,359.0,0.0,0.0,,6,0,0,,,,,,,,,,,,,,,{},OK_RECENT_FORM,FotMob playerData
2026-09-18T23:59:40+08:00,1123587,Sambou Soumano,9837,Reims,Striker,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:57:59+08:00,1050814,Kelian Nsona,4120,Rodez,Left Winger,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:57:59+08:00,1108006,Marco Essimi,4120,Rodez,Right Winger,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-18T23:59:40+08:00,1173790,Kenny Nagera,4120,Rodez,Striker,0,,,,110,Ligue 2,2026/2027,Ligue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OK,FotMob playerData
2026-09-19T00:02:03+08:00,1248041,Hermann Tebily,4120,Rodez,forward,0,,,,110,Ligue 2,2025/2026,Ligue 2,,,,,,,,,5,14.0,0.0,0.0,,5,0,0,,,,,,,,,,,,,,,{},OK_RECENT_FORM,FotMob playerData
