forebet_alias,canonical_hkjc_name,note
Seinajoen JK,SJK Seinajoki,Verified stable Forebet-to-HKJC provider naming
IF Gnistan,Gnistan,Verified stable Forebet club prefix variant
Sarpsborg 08,Sarpsborg,Verified stable Forebet numeric club suffix variant
Tepatitlán de Morelos,Tepatitlan,Verified Forebet Liga de Expansion naming for HKJC Tepatitlan
Zacatecas,Mineros Zacatecas,Verified Forebet Liga de Expansion naming for HKJC Mineros Zacatecas
Bucheon FC 1995,Bucheon FC,Verified Forebet K League naming for HKJC Bucheon FC
Sangju Sangmu,Gimcheon Sangmu,Verified Forebet legacy club naming for HKJC Gimcheon Sangmu
Sanfrecce,Sanfrecce Hiroshima,Verified Forebet short naming for HKJC Sanfrecce Hiroshima
Urawa Red Diamonds,Urawa Reds,Verified Forebet full club naming for HKJC Urawa Reds
Ulsan Hyundai,Ulsan HD,Verified Forebet legacy sponsor naming for HKJC Ulsan HD
Yokohama Marinos,Yokohama F.Marinos,Verified Forebet naming for HKJC Yokohama F.Marinos
Elfen Saitama W,Elfen Saitama Women,Verified Forebet women team naming for HKJC Elfen Saitama Women
NTV Beleza W,Tokyo Verdy Women,Verified Forebet women team naming for HKJC Tokyo Verdy Women
