team_id,team_name,manager_id,manager_name,fetched_at_hkt,quality,source
10015,Rapid Wien,1431200,Johannes Hoff Thorup,2026-09-18T23:54:01+08:00,OK,FotMob teams
1583,WSG Tirol,1135173,Philipp Semlic,2026-09-18T23:54:01+08:00,OK,FotMob teams
278960,Jong FC Utrecht,37182,Mark Otten,2026-09-18T23:54:01+08:00,OK,FotMob teams
4449,AC Oulu,1652442,Mikko Isokangas,2026-09-18T23:52:38+08:00,OK,FotMob teams
6550,FC Inter Turku,7185,Vesa Vasara,2026-09-18T23:52:38+08:00,OK,FotMob teams
8188,Magdeburg,78670,Petrik Sander,2026-09-18T23:52:38+08:00,OK,FotMob teams
8262,Darmstadt,892594,Florian Kohfeldt,2026-09-18T23:52:38+08:00,OK,FotMob teams
8357,Greuther Fürth,292922,Heiko Vogel,2026-09-18T23:52:38+08:00,OK,FotMob teams
8415,Silkeborg,699547,Morten Dahm Kjærgaard,2026-09-18T23:54:01+08:00,OK,FotMob teams
8721,Wolfsburg,1202442,Tobias Strobl,2026-09-18T23:52:38+08:00,OK,FotMob teams
9839,VVV-Venlo,37176,Marinus Dijkhuizen,2026-09-18T23:54:01+08:00,OK,FotMob teams
9907,Lyngby,253762,Mikkel Jespersen,2026-09-18T23:54:01+08:00,OK,FotMob teams
