team_id,team_name,manager_id,manager_name,manager_start_date,season,average_possession,goals_per_match,expected_goals,xg_conceded,shots_on_target_per_match,big_chances_created,possession_won_final_3rd,accurate_passes_per_match,successful_tackles_per_match,interceptions_per_match,selected_stats_json,fetched_at_hkt,quality,source
10268,Elche,1327712,Martín Anselmi,,2026/2027,52.5,,2,12.2,,,,,,,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":52.5},""expected_goals"":{""title"":""expected_goals"",""value"":2},""xg_conceded"":{""title"":""expected_goals_conceded_team"",""value"":12.2}}",2026-09-19T00:02:03+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
6504,Monza,41757,Ivan Jurić,,2026/2027,48.8,2,1.2,2,,,,57,,3.6,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":48.8},""goals_per_match"":{""title"":""goals"",""value"":2},""expected_goals"":{""title"":""expected_goals"",""value"":1.2},""xg_conceded"":{""title"":""goals"",""value"":2},""accurate_passes_per_match"":{""title"":""accurate_pass"",""value"":57},""interceptions_per_match"":{""title"":""interception"",""value"":3.6}}",2026-09-18T23:59:24+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
7869,Córdoba,2817,Iván Ania,,2026/2027,56.9,1,1.8,1,,,,56.3,,2.2,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":56.9},""goals_per_match"":{""title"":""goals"",""value"":1},""expected_goals"":{""title"":""expected_goals"",""value"":1.8},""xg_conceded"":{""title"":""goals"",""value"":1},""accurate_passes_per_match"":{""title"":""accurate_pass"",""value"":56.3},""interceptions_per_match"":{""title"":""interception"",""value"":2.2}}",2026-09-18T23:59:24+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
7943,Sassuolo,27694,Alberto Aquilani,,2026/2027,42.6,2,1.7,2,,,,51.6,,1.6,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":42.6},""goals_per_match"":{""title"":""goals"",""value"":2},""expected_goals"":{""title"":""expected_goals"",""value"":1.7},""xg_conceded"":{""title"":""goals"",""value"":2},""accurate_passes_per_match"":{""title"":""accurate_pass"",""value"":51.6},""interceptions_per_match"":{""title"":""interception"",""value"":1.6}}",2026-09-18T23:59:24+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
8393,Albacete,1630646,Alberto González,,2026/2027,48.2,1,1.1,1,,,,51.6,,2.6,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":48.2},""goals_per_match"":{""title"":""goals"",""value"":1},""expected_goals"":{""title"":""expected_goals"",""value"":1.1},""xg_conceded"":{""title"":""goals"",""value"":1},""accurate_passes_per_match"":{""title"":""accurate_pass"",""value"":51.6},""interceptions_per_match"":{""title"":""interception"",""value"":2.6}}",2026-09-18T23:59:24+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
8427,Bristol City,1437592,Michael Skubala,,2026/2027,45.9,,2.3,10.7,,,,,,,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":45.9},""expected_goals"":{""title"":""expected_goals"",""value"":2.3},""xg_conceded"":{""title"":""expected_goals_conceded_team"",""value"":10.7}}",2026-09-19T00:02:03+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
8455,Chelsea,30889,Xabi Alonso,,2026/2027,44.5,,2.2,6.2,,,,,,,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":44.5},""expected_goals"":{""title"":""expected_goals"",""value"":2.2},""xg_conceded"":{""title"":""expected_goals_conceded_team"",""value"":6.2}}",2026-09-19T00:02:03+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
8558,Espanyol,1622868,Manolo González,,2026/2027,46.6,,3.2,8.1,,,,,,,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":46.6},""expected_goals"":{""title"":""expected_goals"",""value"":3.2},""xg_conceded"":{""title"":""expected_goals_conceded_team"",""value"":8.1}}",2026-09-19T00:02:03+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
8588,Lens,,,,2026/2027,51.6,3,3.5,3,,,,57,,2.9,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":51.6},""goals_per_match"":{""title"":""goals"",""value"":3},""expected_goals"":{""title"":""expected_goals"",""value"":3.5},""xg_conceded"":{""title"":""goals"",""value"":3},""accurate_passes_per_match"":{""title"":""accurate_pass"",""value"":57},""interceptions_per_match"":{""title"":""interception"",""value"":2.9}}",2026-09-18T23:59:24+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
9817,Watford,300231,Alessio Dionisi,,2026/2027,43.5,,1.5,12.4,,,,,,,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":43.5},""expected_goals"":{""title"":""expected_goals"",""value"":1.5},""xg_conceded"":{""title"":""expected_goals_conceded_team"",""value"":12.4}}",2026-09-19T00:02:03+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
9829,Monaco,41167,Filipe Luís,,2026/2027,43.5,3,2.3,3,,,,52.3,,1.9,"{""average_possession"":{""title"":""possession_percentage_team"",""value"":43.5},""goals_per_match"":{""title"":""goals"",""value"":3},""expected_goals"":{""title"":""expected_goals"",""value"":2.3},""xg_conceded"":{""title"":""goals"",""value"":3},""accurate_passes_per_match"":{""title"":""accurate_pass"",""value"":52.3},""interceptions_per_match"":{""title"":""interception"",""value"":1.9}}",2026-09-18T23:59:24+08:00,CURRENT_TEAM_STYLE_PROXY,FotMob teams current-season stats
