built_at,external_fixture_id,github_forebet_date,github_forebet_time,github_forebet_league,github_forebet_home,github_forebet_away,home_away_explicit,match_status,match_reason,candidate_count,hkjc_event_id,our_forebet_home,our_forebet_away,hkjc_home,hkjc_away,hkjc_kickoff_hkt,source_count_total,sources_total,source_count_consensus,sources_consensus,learned_alias_count,learned_aliases,master_direct_source_count,master_direct_sources,master_global_source_count,master_global_sources,identity_evidence,consensus_home,consensus_draw,consensus_away,consensus_over25,consensus_under25,consensus_btts_yes,consensus_btts_no
2026-09-23 23:26:23,FB5685,2026-09-23,15:30,UECW,HJK Helsinki Women,Brann Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5685,HJK Helsinki Women,Brann Women,HJK Helsinki Women,Brann Women,2026-09-23 23:30,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5657,2026-09-23,16:00,USL,Birmingham Legion,Brooklyn FC,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,3,FB5657,Birmingham Legion,Brooklyn FC,Birmingham Legion,Brooklyn FC,2026-09-24 00:00,3,ACC+BCL+FST,3,ACC+BCL+FST,0,,3,ACC+BCL+FST,0,,"[{""source"": ""ACC"", ""home"": ""Birmingham Legion"", ""away"": ""Brooklyn"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""BCL"", ""home"": ""Birmingham Legion"", ""away"": ""Brooklyn"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""FST"", ""home"": ""Birmingham Legion"", ""away"": ""Brooklyn"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}]",61.07,17.3,21.63,66.89,33.11,67.07,32.93
2026-09-23 23:26:23,FB5658,2026-09-23,16:00,INT,Azerbaijan,Tajikistan,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,2,FB5658,Azerbaijan,Tajikistan,Azerbaijan,Tajikistan,2026-09-24 00:00,2,PRE+STA,2,PRE+STA,0,,2,PRE+STA,0,,"[{""source"": ""PRE"", ""home"": ""Azerbaijan"", ""away"": ""Tajikistan"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""STA"", ""home"": ""Azerbaijan"", ""away"": ""Tajikistan"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}]",49.39,27.26,23.35,49.61,50.39,46.91,53.09
2026-09-23 23:26:23,FB5683,2026-09-23,16:00,UECW,Brondby Women,Sporting Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5683,Brondby Women,Sporting Women,Brondby Women,Sporting Women,2026-09-24 00:00,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5638,2026-09-23,16:30,UWW,Korea DPR Women U20,Colombia Women U20,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5638,Korea DPR Women U20,Colombia Women U20,Korea DPR Women U20,Colombia Women U20,2026-09-24 00:30,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5637,2026-09-23,16:45,UCLW,OH Leuven Women,Roma Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,3,FB5637,OH Leuven Women,Roma Women,OH Leuven Women,Roma Women,2026-09-24 00:45,3,ACC+BCL+FRB,3,ACC+BCL+FRB,0,,3,ACC+BCL+FRB,0,,"[{""source"": ""ACC"", ""home"": ""OH Leuven (W)"", ""away"": ""Roma (W)"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""BCL"", ""home"": ""OH Leuven (W)"", ""away"": ""Roma (W)"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""FRB"", ""home"": ""OH Leuven W"", ""away"": ""Roma W"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}]",23.19,30.75,46.06,59.44,40.56,61.67,38.33
2026-09-23 23:26:23,FB5676,2026-09-23,16:45,UCLW,Servette Women,Lyon Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,3,FB5676,Servette Women,Lyon Women,Servette Women,Lyon Women,2026-09-24 00:45,3,ACC+BCL+FRB,3,ACC+BCL+FRB,0,,3,ACC+BCL+FRB,1,FRB,"[{""source"": ""ACC"", ""home"": ""OH Leuven (W)"", ""away"": ""Roma (W)"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""BCL"", ""home"": ""OH Leuven (W)"", ""away"": ""Roma (W)"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""FRB"", ""home"": ""Servette Chênois W"", ""away"": ""Lyon W"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_GLOBAL""}]",24.94,25.5,49.56,64.25,35.75,61.67,38.33
2026-09-23 23:26:23,FB5682,2026-09-23,16:45,UECW,St. Polten Women,Malmo Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,3,FB5682,St. Polten Women,Malmo Women,St. Polten Women,Malmo Women,2026-09-24 00:45,3,ACC+BCL+FRB,3,ACC+BCL+FRB,0,,3,ACC+BCL+FRB,1,FRB,"[{""source"": ""ACC"", ""home"": ""OH Leuven (W)"", ""away"": ""Roma (W)"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""BCL"", ""home"": ""OH Leuven (W)"", ""away"": ""Roma (W)"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""FRB"", ""home"": ""Servette Chênois W"", ""away"": ""Lyon W"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_GLOBAL""}]",24.94,25.5,49.56,64.25,35.75,61.67,38.33
2026-09-23 23:26:23,FB5679,2026-09-23,17:00,UECW,Hammarby Women,Rangers Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5679,Hammarby Women,Rangers Women,Hammarby Women,Rangers Women,2026-09-24 01:00,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5681,2026-09-23,17:00,UECW,Feyenoord Women,Valerenga Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5681,Feyenoord Women,Valerenga Women,Feyenoord Women,Valerenga Women,2026-09-24 01:00,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5662,2026-09-23,18:00,ELCW,Everton Women,Birmingham Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5662,Everton Women,Birmingham Women,Everton Women,Birmingham Women,2026-09-24 02:00,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5663,2026-09-23,18:00,ELCW,Tottenham Women,West Ham Women,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,0,FB5663,Tottenham Women,West Ham Women,Tottenham Women,West Ham Women,2026-09-24 02:00,0,,0,,0,,0,,0,,[],,,,,,,
2026-09-23 23:26:23,FB5670,2026-09-23,18:00,GUC,Saudi Arabia,Kuwait,1,HKJC_ANCHOR,HKJC_AUTHORITY_FIXTURE,4,FB5670,Saudi Arabia,Kuwait,Saudi Arabia,Kuwait,2026-09-24 02:00,4,ACC+BCL+FRB+PRE,4,ACC+BCL+FRB+PRE,0,,4,ACC+BCL+FRB+PRE,1,FRB,"[{""source"": ""ACC"", ""home"": ""Saudi Arabia"", ""away"": ""Kuwait"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""BCL"", ""home"": ""Saudi Arabia"", ""away"": ""Kuwait"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}, {""source"": ""FRB"", ""home"": ""Saudi Arabia"", ""away"": ""Kuwait"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_GLOBAL""}, {""source"": ""PRE"", ""home"": ""Saudi Arabia"", ""away"": ""Kuwait"", ""match_similarity"": 100.0, ""match_quality"": ""MASTER_SOURCE""}]",55.23,19.28,25.49,54.91,45.09,47.34,52.66
