DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
19/09/2026,23:00,,Atletico San Luis,Necaxa,43,27,30,70,73,57,76,45,55,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200563361/atletico-san-luis-v-necaxa-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 00:00,00:00,Europe/London,1
19/09/2026,23:10,,Deportivo Cali,Cucuta Deportivo,66,20,14,86,80,34,54,57,43,39,61,BCL,https://www.betclan.com/predictionsdetails/football/200540634/deportivo-cali-v-cucuta-deportivo-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 00:10,00:10,Europe/London,1
19/09/2026,23:30,,DC United,Charlotte FC,32,23,45,55,77,68,81,37,63,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200607976/dc-united-v-charlotte-fc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 00:30,00:30,Europe/London,1
19/09/2026,23:30,,San Jose,LAFC,32,23,45,55,77,68,84,34,66,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200607982/san-jose-v-lafc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 00:30,00:30,Europe/London,1
20/09/2026,00:00,,Sao Paulo,Internacional,53,27,20,80,73,47,68,43,57,53,47,BCL,https://www.betclan.com/predictionsdetails/football/200500607/sao-paulo-v-internacional-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 01:00,01:00,Europe/London,1
20/09/2026,00:15,,Instituto AC Cordoba,Talleres Cordoba,53,29,18,82,71,47,54,66,34,39,61,BCL,https://www.betclan.com/predictionsdetails/football/200493699/instituto-ac-cordoba-v-talleres-cordoba-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 01:15,01:15,Europe/London,1
20/09/2026,00:30,,FC Dallas,Austin FC,60,21,19,81,79,40,78,37,63,63,37,BCL,https://www.betclan.com/predictionsdetails/football/200607985/fc-dallas-v-austin-fc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 01:30,01:30,Europe/London,1
20/09/2026,00:30,,Houston Dynamo,FC Cincinnati,53,23,24,76,77,47,81,35,65,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200607988/houston-dynamo-v-fc-cincinnati-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 01:30,01:30,Europe/London,1
20/09/2026,00:30,,Kansas City,Philadelphia,16,20,64,36,80,84,81,31,69,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200608011/kansas-city-v-philadelphia-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 01:30,01:30,Europe/London,1
20/09/2026,00:30,,St. Louis City SC,Toronto FC,64,21,15,85,79,36,80,33,67,65,35,BCL,https://www.betclan.com/predictionsdetails/football/200608016/st.-louis-city-sc-v-toronto-fc-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 01:30,01:30,Europe/London,1
20/09/2026,01:00,,Cancún,Alebrijes de Oaxaca,52,26,22,78,74,48,68,46,54,53,47,BCL,https://www.betclan.com/predictionsdetails/football/1581424/cancún-v-alebrijes-de-oaxaca-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 02:00,02:00,Europe/London,1
20/09/2026,01:00,,Colorado Springs,New Mexico United,57,22,21,79,78,43,74,41,59,59,41,BCL,https://www.betclan.com/predictionsdetails/football/1493693/colorado-springs-v-new-mexico-united-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 02:00,02:00,Europe/London,1
20/09/2026,01:10,,Monterrey,Cruz Azul,41,26,33,67,74,59,81,38,62,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200563366/monterrey-v-cruz-azul-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 02:10,02:10,Europe/London,1
20/09/2026,01:15,,Deportivo Pasto,Once Caldas,28,29,43,57,71,72,70,43,57,55,45,BCL,https://www.betclan.com/predictionsdetails/football/200540625/deportivo-pasto-v-once-caldas-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 02:15,02:15,Europe/London,1
20/09/2026,01:30,,Colorado Rapids,Seattle Sounders,53,23,24,76,77,47,74,43,57,59,41,BCL,https://www.betclan.com/predictionsdetails/football/200608018/colorado-rapids-v-seattle-sounders-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 02:30,02:30,Europe/London,1
20/09/2026,01:30,,Nashville SC,Chicago Fire,56,22,22,78,78,44,80,35,65,65,35,BCL,https://www.betclan.com/predictionsdetails/football/200608020/nashville-sc-v-chicago-fire-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 02:30,02:30,Europe/London,1
