DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
22/09/2026,23:00,,Independiente Medellin,Jaguares de Cordoba,81,9,10,90,91,19,50,34,66,35,65,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,00:00,Europe/London,1
22/09/2026,23:30,,Audax Italiano,Colo Colo,36,5,59,41,95,64,83,41,59,68,32,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,00:30,Europe/London,1
22/09/2026,23:30,,Cobreloa,Coquimbo Unido,6,41,53,47,59,94,71,36,64,56,44,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,00:30,Europe/London,1
23/09/2026,01:00,,Independiente Santa Fe,Deportivo Cali,51,27,22,78,73,49,52,72,28,37,63,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,02:00,Europe/London,1
23/09/2026,08:00,,Gamba Osaka,Tokushima Vortis,66,12,22,78,88,34,82,40,60,67,33,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,09:00,Europe/London,1
23/09/2026,08:00,,Kashima Antlers,Ventforet Kofu,84,5,11,89,95,16,56,34,66,41,59,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,09:00,Europe/London,1
23/09/2026,08:00,,Kashiwa Reysol,FC Imabari,89,6,5,95,94,11,47,27,73,32,68,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,09:00,Europe/London,1
23/09/2026,08:00,,Kyoto Sanga FC,Fujieda MYFC,69,9,22,78,91,31,81,37,63,66,34,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,09:00,Europe/London,1
23/09/2026,08:00,,Machida Zelvia,Tochigi City,79,5,16,84,95,21,78,30,70,63,37,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,09:00,Europe/London,1
23/09/2026,08:00,,Vissel Kobe,Sagan Tosu,72,11,17,83,89,28,53,59,41,38,62,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,09:00,Europe/London,1
23/09/2026,13:30,,Levoča,Liptovský Mikuláš,4,7,89,11,93,96,49,10,90,34,66,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,14:30,Europe/London,1
23/09/2026,14:00,,SK Kladno,Banik Ostrava,20,7,73,27,93,80,89,22,78,74,26,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,15:00,Europe/London,1
23/09/2026,14:40,,Al Jazira Al Hamra,Forte Virtus,36,5,59,41,95,64,84,32,68,69,31,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,15:40,Europe/London,1
23/09/2026,15:00,,Barau FC,Abia Warriors,68,15,17,83,85,32,80,28,72,65,35,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,16:00,Europe/London,1
23/09/2026,15:00,,Enugu Rangers,Ranchers Bees,75,11,14,86,89,25,77,38,62,62,38,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,16:00,Europe/London,1
23/09/2026,15:00,,Enyimba,Sporting Lagos,60,15,25,75,85,40,49,75,25,34,66,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,16:00,Europe/London,1
23/09/2026,15:00,,Inter Lagos,Kano Pillars,67,15,18,82,85,33,79,33,67,64,36,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,16:00,Europe/London,1
23/09/2026,15:00,,Rivers United,Kun Khalifat FC,89,5,6,94,95,11,47,35,65,32,68,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,16:00,Europe/London,1
23/09/2026,15:00,,Shooting Stars,Katsina United,78,10,12,88,90,22,76,41,59,61,39,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,16:00,Europe/London,1
23/09/2026,16:00,,Birmingham Legion,Brooklyn,61,13,26,74,87,39,84,30,70,69,31,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,17:00,Europe/London,1
23/09/2026,16:00,,Bregalnica Štip,Skopje,75,6,19,81,94,25,81,36,64,66,34,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,17:00,Europe/London,1
23/09/2026,16:00,,Grorud,Moss,35,4,61,39,96,65,99,16,84,84,16,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,17:00,Europe/London,1
23/09/2026,18:00,,IJsselmeervogels,VV Gemert,87,3,10,90,97,13,53,28,72,38,62,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:00,Europe/London,1
23/09/2026,18:00,,JOS Watergraafsmeer,TEC,13,8,79,21,92,87,96,12,88,81,19,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:00,Europe/London,1
23/09/2026,18:00,,Sparta Nijkerk,RKSV UDI 19,20,51,29,71,49,80,97,19,81,82,18,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:00,Europe/London,1
23/09/2026,18:00,,TOGB,ROHDA Raalte,12,8,80,20,92,88,98,9,91,83,17,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:00,Europe/London,1
23/09/2026,18:00,,VV Zwaluwen Vlaardingen,Purmersteijn,18,53,29,71,47,82,89,28,72,74,26,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:00,Europe/London,1
23/09/2026,18:30,,Boston River,Fenix,58,13,29,71,87,42,49,68,32,34,66,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:30,Europe/London,1
23/09/2026,18:45,,Hamilton,Cowdenbeath,89,5,6,94,95,11,80,14,86,65,35,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,19:45,Europe/London,1
23/09/2026,19:00,,UE Sant Andreu,Real Madrid Castilla,33,4,63,37,96,67,56,64,36,41,59,FST,https://www.footballsuper.tips/todays-free-football-super-tips/,23/09/26,20:00,Europe/London,1
