DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
24/09/2026,01:30,Us1,Seattle Sounders,Real Salt Lake,50,23,26,73,76,49,,64,36,,,FRB,https://www.forebet.com/en/football/matches/seattle-sounders-real-salt-lake-2426613,2026-09-24,03:30,UTC(normalized from HKJC HKT),1
24/09/2026,13:00,NCQ,Namibia,Congo,29,43,28,72,57,71,,59,41,,,FRB,https://www.forebet.com/en/football/matches/namibia-congo-2554578,2026-09-24,15:00,UTC(normalized from HKJC HKT),1
24/09/2026,15:55,GCN,United Arab Emirates,Yemen,48,21,31,69,79,52,,55,45,,,FRB,https://www.forebet.com/en/football/matches/united-arab-emirates-yemen-2552222,2026-09-24,17:55,UTC(normalized from HKJC HKT),1
24/09/2026,16:00,NCQ,DR Congo,Equatorial Guinea,53,30,17,83,70,47,,75,25,,,FRB,https://www.forebet.com/en/football/matches/dr-congo-equatorial-guinea-2554579,2026-09-24,18:00,UTC(normalized from HKJC HKT),1
24/09/2026,16:00,NCQ,Libya,Botswana,37,39,24,76,61,63,,78,22,,,FRB,https://www.forebet.com/en/football/matches/libya-botswana-2554580,2026-09-24,18:00,UTC(normalized from HKJC HKT),1
24/09/2026,16:00,NCQ,Mauritania,Central African Rep,58,24,18,82,76,42,,62,38,,,FRB,https://www.forebet.com/en/football/matches/mauritania-central-african-rep-2554581,2026-09-24,19:00,UTC(normalized from HKJC HKT),1
24/09/2026,18:00,E21,Belgium U21,Belarus U21,54,33,13,87,67,46,,53,47,,,FRB,https://www.forebet.com/en/football/matches/belgium-u21-belarus-u21-2444674,2026-09-24,20:00,UTC(normalized from HKJC HKT),1
24/09/2026,18:00,GCN,Qatar,Bahrain,29,25,46,54,75,71,,49,51,,,FRB,https://www.forebet.com/en/football/matches/qatar-bahrain-2552223,2026-09-24,20:00,UTC(normalized from HKJC HKT),1
24/09/2026,18:45,UNL,Austria,Israel,55,32,13,87,68,45,,26,74,,,FRB,https://www.forebet.com/en/football/matches/austria-israel-2552238,2026-09-24,20:45,UTC(normalized from HKJC HKT),1
24/09/2026,18:45,UNL,Kosovo,Ireland,42,23,35,65,77,58,,48,52,,,FRB,https://www.forebet.com/en/football/matches/kosovo-ireland-2552237,2026-09-24,20:45,UTC(normalized from HKJC HKT),1
24/09/2026,18:45,UNL,Liechtenstein,Lithuania,30,41,29,71,59,70,,63,37,,,FRB,https://www.forebet.com/en/football/matches/liechtenstein-lithuania-2552239,2026-09-24,20:45,UTC(normalized from HKJC HKT),1
24/09/2026,18:45,UNL,Netherlands,Germany,24,50,26,74,50,76,,32,68,,,FRB,https://www.forebet.com/en/football/matches/netherlands-germany-2552236,2026-09-24,20:45,UTC(normalized from HKJC HKT),1
24/09/2026,18:45,UNL,Norway,Denmark,37,40,23,77,60,63,,51,49,,,FRB,https://www.forebet.com/en/football/matches/norway-denmark-2552234,2026-09-24,20:45,UTC(normalized from HKJC HKT),1
24/09/2026,18:45,UNL,Portugal,Wales,41,42,17,83,58,59,,46,54,,,FRB,https://www.forebet.com/en/football/matches/portugal-wales-2552233,2026-09-24,20:45,UTC(normalized from HKJC HKT),1
