DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
22/09/2026,23:00,,Ind. Medellin,Jaguares Cordoba,62,22,16,84,78,38,71,42,58,56,44,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,00:00,Europe/London,1
22/09/2026,23:00,,Nacional Potosi,Real Potosi,38,30,32,68,70,62,74,43,57,59,41,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,00:00,Europe/London,1
22/09/2026,23:30,,Audax Italiano,Colo-Colo,28,32,40,60,68,72,68,50,50,53,47,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,00:30,Europe/London,1
22/09/2026,23:30,,Cobreloa Calama,Coquimbo Unido,32,32,36,64,68,68,66,55,45,51,49,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,00:30,Europe/London,1
23/09/2026,01:00,,Santa Fe Bogota,Deportivo Cali,34,36,30,70,64,66,75,51,49,60,40,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,02:00,Europe/London,1
23/09/2026,08:00,,Gamba Osaka,Tokushima Vortis,41,33,26,74,67,59,67,48,52,52,48,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,09:00,Europe/London,1
23/09/2026,08:00,,Kashima Antlers,Ventforet Kofu,46,35,19,81,65,54,60,41,59,45,55,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,09:00,Europe/London,1
23/09/2026,08:00,,Kashiwa Reysol,Imabari,47,35,18,82,65,53,58,34,66,43,57,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,09:00,Europe/London,1
23/09/2026,08:00,,Kyoto Sanga,Fujieda MYFC,41,32,27,73,68,59,67,48,52,52,48,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,09:00,Europe/London,1
23/09/2026,08:00,,Machida Zelvia,Tochigi City,44,32,24,76,68,56,69,37,63,54,46,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,09:00,Europe/London,1
23/09/2026,08:00,,Vissel Kobe,Sagan Tosu,43,33,24,76,67,57,63,48,52,48,52,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,09:00,Europe/London,1
23/09/2026,14:00,,SK Kladno,Banik Ostrava,26,32,42,58,68,74,74,37,63,59,41,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,15:00,Europe/London,1
23/09/2026,14:30,,Iraq,Oman,38,33,29,71,67,62,64,56,44,49,51,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,15:30,Europe/London,1
23/09/2026,15:00,,Barau,Abia Warriors,60,15,25,75,85,40,57,50,50,42,58,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,16:00,Europe/London,1
23/09/2026,15:00,,Enugu Rangers,Ranchers Bees,44,36,20,80,64,56,90,28,72,75,25,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,16:00,Europe/London,1
23/09/2026,15:00,,Enyimba,Sporting Lagos,19,4,77,23,96,81,43,61,39,28,72,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,16:00,Europe/London,1
23/09/2026,15:00,,Inter Lagos,Kano Pillars,42,34,24,76,66,58,73,33,67,58,42,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,16:00,Europe/London,1
23/09/2026,15:00,,Shooting Stars,Katsina United,44,24,32,68,76,56,76,39,61,61,39,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,16:00,Europe/London,1
23/09/2026,16:00,,Azerbaijan,Tajikistan,40,33,27,73,67,60,64,53,47,49,51,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,17:00,Europe/London,1
23/09/2026,16:00,,Bregalnica Stip,Skopje,68,18,14,86,82,32,52,44,56,37,63,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,17:00,Europe/London,1
23/09/2026,16:00,,Gibraltar,Sao Tome&Pr.,44,33,23,77,67,56,64,45,55,49,51,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,17:00,Europe/London,1
23/09/2026,16:00,,Grorud,Moss,31,29,40,60,71,69,88,25,75,73,27,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,17:00,Europe/London,1
23/09/2026,18:00,,Atl. Saguntino,Navalcarnero,30,33,37,63,67,70,64,56,44,49,51,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,19:00,Europe/London,1
23/09/2026,18:00,,Saudi Arabia,Kuwait,45,35,20,80,65,55,58,45,55,43,57,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,19:00,Europe/London,1
23/09/2026,18:30,,Boston River,Fenix,39,34,27,73,66,61,62,57,43,47,53,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,19:30,Europe/London,1
23/09/2026,18:45,,Hamilton,Cowdenbeath,47,33,20,80,67,53,67,27,73,52,48,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,19:45,Europe/London,1
23/09/2026,19:00,,Sant Andreu,Real Madrid B,41,24,35,65,76,59,30,83,17,15,85,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,20:00,Europe/London,1
23/09/2026,19:00,,Turks&Caicos,Montserrat,18,35,47,53,65,82,57,33,67,42,58,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,20:00,Europe/London,1
23/09/2026,20:00,,ADT Tarma,Cienciano,33,31,36,64,69,67,70,50,50,55,45,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,21:00,Europe/London,1
23/09/2026,20:00,,Bahamas,Saint Martin,19,34,47,53,66,81,65,28,72,50,50,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,21:00,Europe/London,1
23/09/2026,21:00,,Curico Unido,Dep. Concepcion,32,32,36,64,68,68,65,56,44,50,50,PRE,https://primatips.com/tips/2026-09-23,2026-09-23,22:00,Europe/London,1
23/09/2026,23:00,,Aruba,Antigua&Barbuda,34,31,35,65,69,66,74,45,55,59,41,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,00:00,Europe/London,1
23/09/2026,23:00,,CA Cerro,Dep. Maldonado,29,33,38,62,67,71,60,61,39,45,55,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,00:00,Europe/London,1
23/09/2026,23:00,,Mont. Wanderers,Sportivo Cerrito,40,33,27,73,67,60,63,56,44,48,52,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,00:00,Europe/London,1
23/09/2026,23:30,,Dep. Iquique,Antofagasta,34,32,34,66,68,66,70,51,49,55,45,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,00:30,Europe/London,1
23/09/2026,23:30,,Union La Calera,U. Catolica,30,32,38,62,68,70,68,52,48,53,47,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,00:30,Europe/London,1
24/09/2026,00:30,,America de Cali,Aguilas Doradas,51,26,23,77,74,49,73,50,50,58,42,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,01:30,Europe/London,1
24/09/2026,01:00,,Alianza Salvador,Fuerte SF,55,29,16,84,71,45,61,55,45,46,54,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,02:00,Europe/London,1
24/09/2026,01:00,,Luis Angel Firpo,Cacahuatique,46,44,10,90,56,54,65,50,50,50,50,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,02:00,Europe/London,1
24/09/2026,01:30,,Seattle Sounders,Real Salt Lake,40,31,29,71,69,60,79,43,57,64,36,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,02:30,Europe/London,1
24/09/2026,02:00,,Vancouver FC,Inter Toronto,39,31,30,70,69,61,75,41,59,60,40,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,03:00,Europe/London,1
24/09/2026,02:00,,Xelaju MC,Antigua GFC,34,18,48,52,82,66,66,46,54,51,49,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,03:00,Europe/London,1
24/09/2026,04:00,,Solomon Islands,Vanuatu,36,31,33,67,69,64,71,48,52,56,44,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,05:00,Europe/London,1
24/09/2026,09:00,,Laos,Brunei,40,30,30,70,70,60,79,37,63,64,36,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,10:00,Europe/London,1
24/09/2026,09:30,,Palestine,New Zealand,26,33,41,59,67,74,62,55,45,47,53,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,10:30,Europe/London,1
24/09/2026,10:05,,Japan,Uruguay,39,32,29,71,68,61,62,58,42,47,53,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,11:05,Europe/London,1
24/09/2026,11:00,,South Korea,Ecuador,35,33,32,68,67,65,63,59,41,48,52,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,12:00,Europe/London,1
24/09/2026,11:35,,China,Maldives,49,38,13,87,62,51,35,17,83,20,80,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,12:35,Europe/London,1
24/09/2026,12:00,,Myanmar,East Timor,45,32,23,77,68,55,70,34,66,55,45,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,13:00,Europe/London,1
24/09/2026,13:00,,Namibia,Congo,35,34,31,69,66,65,60,63,37,45,55,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,14:00,Europe/London,1
24/09/2026,14:00,,Uzbekistan,Iran,33,32,35,65,68,67,61,61,39,46,54,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,15:00,Europe/London,1
24/09/2026,15:00,,Rivers United,Kun Khalifat,64,30,6,94,70,36,59,67,33,44,56,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,16:00,Europe/London,1
24/09/2026,15:00,,UAE,Yemen,45,35,20,80,65,55,58,47,53,43,57,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,16:00,Europe/London,1
24/09/2026,16:00,,Andorra,Malta,29,35,36,64,65,71,54,70,30,39,61,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,Congo DR,Equat. Guinea,46,37,17,83,63,54,50,54,46,35,65,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,Hapoel Acre,Hapoel Afula,12,4,84,16,96,88,49,43,57,34,66,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,Ironi Modi'in,M.S. Ashdod,18,18,64,36,82,82,65,43,57,50,50,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,Libya,Botswana,42,35,23,77,65,58,54,62,38,39,61,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,M. Herzliya,Kiryat Yam,51,7,42,58,93,49,71,48,52,56,44,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,Mauritania,Cen. African Rep.,41,35,24,76,65,59,54,63,37,39,61,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,16:00,,Rishon LeZion,M. Ahi Nazareth,63,18,19,81,82,37,71,43,57,56,44,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,17:00,Europe/London,1
24/09/2026,18:00,,Qatar,Bahrain,38,32,30,70,68,62,65,55,45,50,50,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:00,Europe/London,1
24/09/2026,18:30,,Danubio,Penarol,32,32,36,64,68,68,65,56,44,50,50,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:30,Europe/London,1
24/09/2026,18:30,,Mont. City Torque,Atenas,41,33,26,74,67,59,62,55,45,47,53,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:30,Europe/London,1
24/09/2026,18:45,,Austria,Israel,44,32,24,76,68,56,69,38,62,54,46,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Caen,Rouen,34,32,34,66,68,66,41,65,35,26,74,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Kosovo,Ireland,35,33,32,68,67,65,63,60,40,48,52,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Liechtenstein,Lithuania,17,37,46,54,63,83,49,55,45,34,66,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Netherlands,Germany,36,30,34,66,70,64,79,38,62,64,36,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Norway,Denmark,41,31,28,72,69,59,71,45,55,56,44,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Portugal,Wales,46,36,18,82,64,54,58,39,61,43,57,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,18:45,,Serbia,Greece,34,32,34,66,68,66,65,56,44,50,50,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,19:45,Europe/London,1
24/09/2026,19:00,,Cameroon,Comoros,46,37,17,83,63,54,51,52,48,36,64,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,20:00,Europe/London,1
24/09/2026,19:00,,Cote d'Ivoire,Ghana,42,34,24,76,66,58,57,58,42,42,58,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,20:00,Europe/London,1
24/09/2026,19:00,,Puerto Rico,Guyana,36,34,30,70,66,64,65,56,44,50,50,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,20:00,Europe/London,1
24/09/2026,19:00,,Sierra Leone,Zimbabwe,35,33,32,68,67,65,59,64,36,44,56,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,20:00,Europe/London,1
24/09/2026,19:00,,Tunisia,Uganda,43,36,21,79,64,57,56,56,44,41,59,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,20:00,Europe/London,1
24/09/2026,20:00,,US Amal Tiznit,IR Tanger,32,34,34,66,66,68,56,67,33,41,59,PRE,https://primatips.com/tips/2026-09-24,2026-09-24,21:00,Europe/London,1
