DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
22/09/2026,12:30,,Mes Kerman,Saipa,35,35,30,70,65,65,60,60,40,41,59,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,13:30,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,13:00,,SKCF Sevastopol,Rubin Yalta,56,28,16,84,72,44,71,52,48,47,53,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,14:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,14:30,,Dumbravita,CSM Scolar Resita,24,26,50,50,74,76,79,57,43,45,55,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,15:30,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,15:00,,Havadar SC,Beasat Kermanshah,43,38,19,81,62,57,59,67,33,35,65,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,16:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,16:00,,Naft Gachsaran,Ario Islamshahr,38,35,27,73,65,62,56,70,30,29,71,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,17:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,16:00,,US Biskra,JS Saoura,33,26,41,59,74,67,64,65,35,33,67,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,17:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,16:45,,Bayern Munich (w),Manchester City (w),43,29,28,72,71,57,88,34,66,60,40,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,17:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,17:15,,Muaither SC,Al-Khor,43,30,27,73,70,57,93,30,70,74,26,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,18:15,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:00,,Cheltenham,Exeter,50,28,22,78,72,50,82,39,61,64,36,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:00,,Chesterfield,Port Vale,53,29,18,82,71,47,79,47,53,55,45,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:00,DYNAMIC_OFFSET:source-utc=+60m,1
