date,time,forebet_home,forebet_away,source_count,sources,consensus_home,consensus_draw,consensus_away,consensus_over25,consensus_under25
2026-02-18,01:30,2 de Mayo,Sporting Cristal,6,FRB+ACC+BCL+FST+PRE+STA,33.6,37.1,29.1,39.4,60.6
2026-02-18,01:30,Liverpool (URU),Ind Medellin,6,FRB+ACC+BCL+FST+PRE+STA,37.6,32.5,29.8,48.3,51.7
2026-02-18,11:00,Shanghai SIPG,Ulsan Hyundai,6,FRB+ACC+BCL+FST+PRE+STA,28.6,24.7,46.6,60.4,39.6
2026-02-18,11:00,Melbourne City,Gangwon FC,6,FRB+ACC+BCL+FST+PRE+STA,30.5,38.1,31.4,45.0,55.0
2026-02-18,17:00,Khemis Zemamra,RSB Berkane,6,FRB+ACC+BCL+FST+PRE+STA,26.3,24.9,48.6,41.5,58.5
2026-02-18,18:00,Manisa BBSK,Bandirmaspor,6,FRB+ACC+BCL+FST+PRE+STA,38.5,31.6,29.5,56.6,43.4
2026-02-18,18:00,Spartak Trnava,Slovan Bratislava,6,FRB+ACC+BCL+FST+PRE+STA,28.6,31.2,40.2,57.1,42.9
2026-02-18,18:30,Stellenbosch FC,Magesi FC,6,FRB+ACC+BCL+FST+PRE+STA,51.8,29.0,19.1,35.1,64.9
2026-02-18,18:45,Qarabag,Newcastle United,6,FRB+ACC+BCL+FST+PRE+STA,21.9,22.0,56.1,58.0,42.0
2026-02-18,19:00,FC Winterthur,St Gallen,6,FRB+ACC+BCL+FST+PRE+STA,19.8,21.9,58.1,68.6,31.4
2026-02-18,20:00,Levante,Villarreal,6,FRB+ACC+BCL+FST+PRE+STA,22.8,20.4,56.5,58.5,41.5
2026-02-18,20:45,Grimsby Town,Walsall FC,6,FRB+ACC+BCL+FST+PRE+STA,47.0,27.4,25.5,52.3,47.7
2026-02-18,20:45,Aberdeen,Motherwell,6,FRB+ACC+BCL+FST+PRE+STA,27.6,31.5,40.9,52.5,47.5
2026-02-18,21:00,Olympiacos FC,Bayer Leverkusen,6,FRB+ACC+BCL+FST+PRE+STA,34.6,32.9,32.4,50.0,50.0
2026-02-18,21:00,Club Brugge,Atlético Madrid,6,FRB+ACC+BCL+FST+PRE+STA,28.8,23.8,47.3,59.0,41.0
